"","logFC_Apoe_e4yes","p_Apoe_e4yes","padj"
"NOC2L",0.15309834687364,0.102957069486144,0.270248677202352
"KLHL17",0.430109586827121,0.0421639315802485,0.162513158596974
"HES4",-0.83594980936095,0.0129316746975607,0.081056809738074
"ISG15",-0.245942331690672,0.300672448214043,0.509285535575235
"AGRN",-0.0275956748200424,0.817797189143778,0.899054539378078
"C1orf159",-0.0649604807597972,0.484907433786201,0.674634884863434
"SDF4",0.00250218973020723,0.965583125912708,0.982112518026831
"B3GALT6",-0.0542946253320178,0.643021714202313,0.787617384836914
"UBE2J2",0.0666747632915614,0.137862546445776,0.319604635992688
"SCNN1D",-0.229811828104656,0.0347668963667563,0.145403773127521
"ACAP3",-0.0346591683503094,0.652603864662678,0.794641553591422
"PUSL1",-0.286384995721608,0.0583196318807438,0.194728653112164
"INTS11",-0.100543656200408,0.0135998585806157,0.0832655373176828
"CPTP",-0.00564208233535526,0.94618764094814,0.971858341937492
"DVL1",0.00297070877412412,0.971281586961188,0.985355826903237
"AURKAIP1",-0.0481832459313547,0.677213804783894,0.812724822085286
"CCNL2",-0.179249911327925,0.0141286567678539,0.0848599426559195
"MRPL20",-0.135697934579623,0.139120723521266,0.321398957098346
"ANKRD65",-0.0816840219474088,0.546340873213164,0.720086800771913
"TMEM88B",-0.130585965717767,0.197849439669699,0.396293723727707
"VWA1",0.0302415490826482,0.754589091511132,0.860799781092326
"ATAD3C",0.568971609661437,0.00426120167289149,0.041578591441316
"ATAD3B",-0.133411640683336,0.176339794715753,0.372237110218299
"ATAD3A",-0.12654000533087,0.0448920296905207,0.168389272389738
"TMEM240",0.0958909759712117,0.349041724310361,0.556449385412152
"SSU72",0.0605933328665205,0.439919637951728,0.638870755126898
"MIB2",-0.10512076546307,0.109329190478454,0.279755636880059
"CDK11B",0.195663609650721,0.00195114854831314,0.0253179401159125
"SLC35E2B",0.275970948815241,2.12379141949845e-05,0.00164656452052389
"CDK11A",0.220351485229373,0.0875701257628931,0.245343335756245
"SLC35E2A",0.173333601568037,0.0477024695403483,0.174425790069046
"NADK",0.101038318548918,0.141819979598148,0.325691843435924
"GNB1",-0.107681369348358,0.015540975350758,0.0905850265976452
"CFAP74",-0.174342892424301,0.220753821305753,0.42360257886161
"GABRD",-0.79822235174409,0.0166852379768756,0.0940261341561814
"PRKCZ",0.00141327858280279,0.985307320250969,0.992757810598423
"FAAP20",0.151284958031937,0.152340597009665,0.339900014069817
"SKI",0.219921457752541,0.0139127781153115,0.0843066730586506
"MORN1",-0.196738573418621,0.023454702853505,0.114836300972198
"RER1",0.0611927773070432,0.287441376676593,0.495635067097471
"PEX10",0.000336232929483555,0.997860967890299,0.998751841101376
"PLCH2",0.0296903262846066,0.859037604929967,0.923580947448565
"PANK4",0.421040506180133,0.000737732890144394,0.0143968283065659
