Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,14,-0.7877,24,0.08861,10,-1.3372,16,-0.5864,20,-0.2343,26,0.20415,36,1.00358
ENSG00000188976,NOC2L,19,-1.1846,33,-0.4168,27,-0.7066,37,-0.1923,96,1.39201,66,0.72763,41,-0.0575
ENSG00000188290,HES4,156,1.21756,76,0.02988,62,-0.3225,49,-0.6421,66,-0.1888,68,-0.1533,69,-0.1534
ENSG00000187608,ISG15,195,1.13768,97,-0.0237,76,-0.4263,58,-0.8187,82,-0.2850,125,0.38909,91,-0.1462
ENSG00000188157,AGRN,35,0.33500,24,-0.3003,16,-0.9696,29,0.03870,31,0.11247,36,0.37878,34,0.37661
ENSG00000078808,SDF4,89,0.34076,44,-0.8126,57,-0.4016,84,0.24573,76,0.08619,82,0.20208,86,0.36811
ENSG00000176022,B3GALT6,17,-1.1871,37,-0.0007,19,-1.0968,41,0.15712,53,0.55010,53,0.56335,45,0.36245
ENSG00000160087,UBE2J2,34,-0.3576,34,-0.3881,35,-0.3771,47,0.11254,57,0.45072,51,0.25353,50,0.27443
ENSG00000131584,ACAP3,12,-2.5290,65,-0.0337,56,-0.2917,81,0.31006,80,0.29806,87,0.42644,76,0.27889
ENSG00000169972,PUSL1,16,0.28727,15,0.25427,9,-0.5256,13,0.04688,6,-1.0516,20,0.70910,13,-0.0357
ENSG00000127054,INTS11,56,0.29563,28,-0.8704,33,-0.6024,32,-0.5674,65,0.51960,64,0.49540,59,0.47399
ENSG00000224051,CPTP,19,-0.8352,35,0.12073,22,-0.6503,25,-0.3798,50,0.71590,46,0.58299,34,0.09215
ENSG00000107404,DVL1,63,-0.0961,73,0.15332,86,0.44237,57,-0.2610,66,-0.0256,37,-0.9111,66,-0.0390
ENSG00000175756,AURKAIP1,209,0.29689,186,0.12928,171,-0.0201,144,-0.2914,121,-0.5562,178,0.04117,180,0.07242
ENSG00000221978,CCNL2,41,0.06610,33,-0.2863,35,-0.2246,41,0.06120,39,-0.0166,60,0.66634,39,-0.0205
ENSG00000242485,MRPL20,218,0.46215,159,-0.0470,153,-0.1168,226,0.52256,131,-0.3427,161,-0.0185,146,-0.2221
ENSG00000235098,ANKRD65,3,-1.7303,12,0.15981,16,0.64495,21,0.96821,8,-0.4385,11,-0.0379,8,-0.6500
ENSG00000179403,VWA1,40,0.50655,11,-1.5668,52,1.11063,84,1.80124,12,-1.3339,11,-1.5123,16,-1.0750
ENSG00000197785,ATAD3A,8,-1.2398,11,-0.7788,14,-0.4377,25,0.52545,27,0.65819,25,0.55884,20,0.28256
ENSG00000205090,TMEM240,20,-1.0105,35,-0.1968,15,-1.5507,40,0.05218,57,0.61543,37,-0.0829,58,0.87056
ENSG00000160075,SSU72,127,-0.3865,177,0.15469,135,-0.3164,110,-0.6083,145,-0.1828,188,0.23334,197,0.40299
ENSG00000228594,FNDC10,24,-0.5862,41,0.24025,23,-0.7652,47,0.44447,55,0.68849,29,-0.3228,37,0.06253
ENSG00000272106,AL691432.2,23,-0.2737,30,0.15224,22,-0.3759,22,-0.3624,37,0.46616,24,-0.2505,32,0.24896
ENSG00000197530,MIB2,34,0.05184,35,0.07949,27,-0.3454,35,0.08298,48,0.60785,28,-0.2795,32,-0.0721
ENSG00000189339,SLC35E2B,14,-0.2448,17,0.06440,11,-0.7381,22,0.42031,13,-0.3953,14,-0.2541,22,0.52204
ENSG00000215790,SLC35E2A,18,-0.1833,22,0.14784,9,-1.2419,15,-0.4785,12,-0.7784,29,0.57703,28,0.73170
ENSG00000008130,NADK,64,1.30283,26,-0.2001,24,-0.3016,20,-0.5401,31,0.10413,24,-0.2766,27,-0.1728
ENSG00000078369,GNB1,327,-0.3679,387,-0.1159,339,-0.3391,354,-0.2421,398,-0.0596,471,0.21055,514,0.45352
ENSG00000187730,GABRD,115,-0.4403,126,-0.3264,64,-1.4061,33,-2.3069,91,-0.7926,176,0.23440,293,1.55256
ENSG00000067606,PRKCZ,97,-1.1545,243,0.30426,173,-0.2940,200,-0.0434,300,0.61463,214,0.06566,205,-0.0032
ENSG00000162585,FAAP20,78,0.40209,60,-0.0009,70,0.24840,73,0.29911,64,0.09347,18,-1.8053,57,-0.1020
ENSG00000157933,SKI,50,0.66246,25,-0.4566,38,0.20856,39,0.23429,26,-0.4104,27,-0.3127,33,-0.0204
ENSG00000157916,RER1,73,0.16152,37,-0.9352,54,-0.3270,63,-0.0713,82,0.35118,99,0.65119,75,0.25418
ENSG00000157911,PEX10,32,0.17042,27,-0.1033,31,0.14174,27,-0.0816,24,-0.2958,32,0.15270,28,-0.0284
ENSG00000149527,PLCH2,10,-1.0070,26,0.45321,23,0.21370,5,-1.8920,11,-0.8261,33,0.81859,21,0.08719
ENSG00000157870,PRXL2B,49,-0.4726,74,0.17778,33,-1.1481,39,-0.8186,130,1.09761,104,0.72254,66,-0.0257
ENSG00000177133,PRDM16-DT,14,-0.5060,24,0.44718,42,1.56217,18,-0.0567,15,-0.3526,7,-1.5452,7,-1.5718
ENSG00000158109,TPRG1L,137,-0.4210,185,0.05011,97,-1.0159,162,-0.1620,237,0.44844,267,0.64685,202,0.24015
ENSG00000130764,LRRC47,41,-0.6529,58,-0.1358,44,-0.5838,56,-0.1855,79,0.36521,98,0.71916,71,0.23755
ENSG00000116198,CEP104,34,0.90269,12,-0.7710,20,0.06662,30,0.69369,36,0.98923,7,-1.4643,14,-0.5971
ENSG00000196581,AJAP1,2,-4.0166,33,-0.2117,20,-1.0269,25,-0.5862,36,-0.0633,59,0.73945,60,1.07692
ENSG00000069424,KCNAB2,167,-0.5397,306,0.46803,155,-0.7113,64,-1.9740,236,0.00079,259,0.14566,317,0.62017
ENSG00000116254,CHD5,79,-0.5967,142,0.36622,72,-0.7926,145,0.36016,231,1.14468,106,-0.1385,95,-0.3815
ENSG00000116251,RPL22,1403,1.45036,551,-0.1329,772,0.47753,724,0.31625,345,-0.8445,351,-0.8170,356,-0.9413
ENSG00000116237,ICMT,27,-0.6208,28,-0.6332,20,-1.1495,20,-1.0626,50,0.33144,51,0.36914,68,1.12981
ENSG00000158292,GPR153,4,-2.0602,21,0.39713,15,-0.1478,2,-2.6465,4,-1.8928,18,0.12517,27,1.08380
ENSG00000097021,ACOT7,140,-1.0936,271,-0.0851,149,-1.0767,205,-0.5108,327,0.22458,577,1.17801,346,0.40640
ENSG00000171680,PLEKHG5,19,-0.3636,28,0.22061,16,-0.6814,3,-3.0471,7,-1.7917,31,0.36199,40,1.10568
ENSG00000162408,NOL9,19,-0.7274,27,-0.1579,24,-0.3876,26,-0.1870,35,0.26546,24,-0.3334,41,0.64828
ENSG00000162413,KLHL21,26,-0.1852,15,-1.0263,19,-0.6880,50,0.91128,24,-0.3094,38,0.45419,37,0.49724
ENSG00000116273,PHF13,13,-0.2889,11,-0.5493,6,-1.4440,16,0.08437,26,0.83203,12,-0.3942,23,0.82595
ENSG00000041988,THAP3,12,-0.7882,22,0.21014,14,-0.5477,27,0.50294,13,-0.5529,14,-0.5056,25,0.55400
ENSG00000007923,DNAJC11,40,0.33447,32,-0.0123,25,-0.4246,31,-0.0392,33,0.04204,32,-0.0252,35,0.15068
ENSG00000171735,CAMTA1,140,-0.0022,108,-0.4435,125,-0.1895,117,-0.2741,250,0.95420,130,-0.1207,145,0.07226
ENSG00000049245,VAMP3,58,1.05690,7,-2.2586,55,1.13446,110,2.28848,7,-2.1235,7,-2.2368,9,-2.0299
ENSG00000049246,PER3,28,0.30020,22,-0.0816,23,0.01913,35,0.69176,23,0.01911,22,-0.0887,18,-0.4448
ENSG00000116288,PARK7,462,0.35869,385,0.07418,372,0.01035,385,0.06717,232,-0.7216,433,0.25223,346,-0.1284
ENSG00000116285,ERRFI1,13,-0.5318,19,0.02975,9,-1.2164,35,0.97794,11,-0.7984,17,-0.1773,25,0.60336
ENSG00000162426,SLC45A1,20,-0.9529,30,-0.4088,14,-1.5417,24,-0.7195,48,0.38365,72,1.06087,55,0.77765
ENSG00000142599,RERE,121,0.28670,79,-0.4135,93,-0.1423,87,-0.2306,100,-0.0191,84,-0.2812,124,0.43437
ENSG00000074800,ENO1,458,-0.5168,583,-0.1540,655,0.04985,512,-0.3422,489,-0.4147,954,0.65631,706,0.20734
ENSG00000171612,SLC25A33,31,0.16990,28,0.02431,38,0.54409,23,-0.3049,12,-1.2475,23,-0.3038,29,0.04944
ENSG00000188807,TMEM201,4,-1.6283,11,-0.3885,11,-0.3453,15,0.18425,21,0.68602,9,-0.5984,18,0.66021
ENSG00000171603,CLSTN1,354,-0.7095,460,-0.3319,266,-1.2256,376,-0.6142,546,-0.0338,1029,1.00943,793,0.75543
ENSG00000178585,CTNNBIP1,36,0.10316,25,-0.5050,48,0.64334,52,0.67876,36,0.11942,30,-0.1656,24,-0.6570
ENSG00000162441,LZIC,42,0.53303,25,-0.2734,34,0.22462,59,1.10867,16,-0.9714,26,-0.2361,23,-0.5140
ENSG00000130939,UBE4B,20,-0.7817,30,-0.1826,27,-0.3963,38,0.20034,54,0.75853,43,0.40991,33,-0.0067
ENSG00000054523,KIF1B,141,-0.8774,257,0.05306,204,-0.3454,361,0.60122,328,0.44286,229,-0.1335,253,0.03258
ENSG00000142657,PGD,42,-0.1547,33,-0.5307,30,-0.7039,54,0.25417,73,0.75600,52,0.19571,52,0.26350
ENSG00000241563,CORT,57,-0.9369,36,-1.7084,53,-1.1188,18,-2.6540,616,3.51484,4,-4.6186,92,-0.2416
ENSG00000160049,DFFA,44,0.66020,12,-1.3797,45,0.79761,37,0.35419,28,-0.0647,33,0.18013,22,-0.5505
ENSG00000142655,PEX14,4,-2.4275,16,-0.4965,17,-0.3845,9,-1.2680,21,-0.0494,20,-0.0745,38,1.33135
ENSG00000120948,TARDBP,32,-0.8170,40,-0.5038,47,-0.2640,69,0.39227,60,0.15557,59,0.12556,68,0.45836
ENSG00000116649,SRM,70,-0.4911,95,-0.0209,81,-0.2919,66,-0.5965,92,-0.0816,128,0.44885,118,0.40516
ENSG00000171824,EXOSC10,22,0.24759,14,-0.5216,15,-0.4018,27,0.58349,17,-0.1624,20,0.07186,21,0.24991
ENSG00000198793,MTOR,20,-0.8442,30,-0.2927,29,-0.3644,30,-0.2442,34,-0.0799,65,0.98158,41,0.30962
ENSG00000116661,FBXO2,374,0.38405,239,-0.3566,439,0.74149,213,-0.5050,223,-0.4350,280,-0.0763,264,-0.2128
ENSG00000132879,FBXO44,68,-1.0694,140,0.04786,75,-1.0051,120,-0.1982,198,0.60128,213,0.72103,157,0.29181
ENSG00000116670,MAD2L2,35,0.41535,24,-0.1945,24,-0.2170,26,-0.0705,7,-1.9349,36,0.45636,32,0.36806
ENSG00000177674,AGTRAP,34,1.54598,9,-0.6600,28,1.43872,13,-0.0818,2,-2.6363,7,-0.8798,6,-1.4449
ENSG00000177000,MTHFR,7,-0.9854,10,-0.4596,10,-0.5560,14,-0.0297,26,1.04239,11,-0.4020,18,0.52917
ENSG00000011021,CLCN6,21,-1.4075,39,-0.5202,25,-1.2189,60,0.19150,149,1.74579,72,0.47939,52,-0.0465
ENSG00000116685,KIAA2013,24,-0.4416,17,-1.0785,29,-0.1665,62,1.05677,22,-0.5874,55,0.85524,34,0.07491
ENSG00000083444,PLOD1,61,1.64494,10,-1.3470,18,-0.3700,30,0.41362,17,-0.4428,25,0.10510,21,-0.1581
ENSG00000116688,MFN2,58,-0.6289,65,-0.4948,71,-0.3419,110,0.37661,93,0.11748,126,0.61148,98,0.25099
ENSG00000116691,MIIP,3,-2.2699,12,-0.4013,18,0.27934,20,0.36421,19,0.25865,23,0.62307,16,-0.0279
ENSG00000048707,VPS13D,64,0.54891,34,-0.4940,32,-0.5895,57,0.34688,69,0.66393,38,-0.2715,47,0.06179
ENSG00000162496,DHRS3,50,0.98277,14,-1.0642,58,1.47332,34,0.34873,19,-0.5300,17,-0.6998,12,-1.4373
ENSG00000116731,PRDM2,21,-1.4419,48,-0.2086,32,-0.8961,91,0.84524,72,0.44272,63,0.23701,64,0.32200
ENSG00000189337,KAZN,16,-1.4114,29,-0.6148,40,-0.0645,63,0.66556,88,1.23627,24,-0.8239,43,0.05783
ENSG00000142634,EFHD2,35,-1.1856,58,-0.4886,38,-1.1769,298,2.42565,218,1.78468,57,-0.4770,16,-2.5829
ENSG00000116138,DNAJC16,13,-0.5012,13,-0.4967,8,-1.2206,11,-0.7283,36,1.13572,30,0.82089,21,0.35202
ENSG00000197312,DDI2,16,-0.1172,13,-0.4174,10,-0.8737,21,0.29785,16,-0.0788,19,0.16996,23,0.63286
ENSG00000116786,PLEKHM2,51,-0.3435,70,0.16618,73,0.25170,32,-1.0716,61,-0.0795,68,0.10074,68,0.11917
ENSG00000065526,SPEN,41,0.48165,22,-0.5602,30,-0.0181,41,0.46861,33,0.10654,31,0.01319,28,-0.1231
ENSG00000116809,ZBTB17,15,-0.1383,23,0.58808,13,-0.3746,12,-0.4494,20,0.28284,14,-0.2136,16,-0.0648
ENSG00000185519,FAM131C,4,-2.0918,12,-0.3883,21,0.52535,15,-0.0671,5,-1.6719,4,-2.0227,26,1.11403
