Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,17,-0.4119,18,-0.2726,32,0.83923
ENSG00000188976,NOC2L,47,-0.4397,59,0.15959,69,0.42950
ENSG00000188290,HES4,65,0.13684,61,-0.0528,57,-0.1493
ENSG00000187608,ISG15,63,0.09015,56,-0.1821,65,0.09030
ENSG00000188157,AGRN,38,0.14651,34,-0.1068,35,-0.0924
ENSG00000078808,SDF4,70,-0.4345,83,0.02481,111,0.57321
ENSG00000176022,B3GALT6,25,-0.3381,32,0.24150,32,0.19123
ENSG00000160087,UBE2J2,41,-0.0833,37,-0.2595,52,0.42128
ENSG00000131584,ACAP3,124,-0.1440,110,-0.3430,179,0.58248
ENSG00000127054,INTS11,46,-0.9215,78,0.33316,101,0.80410
ENSG00000224051,CPTP,18,-0.9319,31,0.36482,40,0.78088
ENSG00000107404,DVL1,69,-0.2171,69,-0.1557,97,0.48891
ENSG00000175756,AURKAIP1,126,0.19640,108,-0.1735,112,-0.0857
ENSG00000221978,CCNL2,42,-0.6051,79,0.88211,43,-0.3704
ENSG00000242485,MRPL20,160,-0.1424,171,0.04390,183,0.15911
ENSG00000179403,VWA1,27,0.30139,16,-0.8023,30,0.42036
ENSG00000197785,ATAD3A,17,-0.0378,18,0.06493,17,-0.0270
ENSG00000205090,TMEM240,38,-0.0711,43,0.21188,35,-0.1816
ENSG00000160075,SSU72,167,-0.3368,221,0.33547,196,0.06351
ENSG00000228594,FNDC10,45,-0.0165,40,-0.2876,56,0.36065
ENSG00000272106,AL691432.2,22,-0.4778,24,-0.2149,42,0.86178
ENSG00000197530,MIB2,51,0.20521,38,-0.4381,53,0.20904
ENSG00000189339,SLC35E2B,24,0.18686,23,0.08411,17,-0.4436
ENSG00000215790,SLC35E2A,26,-0.3338,33,0.26156,32,0.15883
ENSG00000008130,NADK,20,-0.5319,20,-0.4758,45,1.14216
ENSG00000078369,GNB1,478,-0.1268,548,0.19390,483,-0.0639
ENSG00000187730,GABRD,136,-0.6257,219,0.51241,197,0.23530
ENSG00000067606,PRKCZ,224,0.09058,224,0.06228,190,-0.2353
ENSG00000162585,FAAP20,48,0.36970,37,-0.2835,37,-0.2283
ENSG00000157933,SKI,27,-0.4514,32,-0.0200,46,0.64100
ENSG00000157916,RER1,50,-0.3968,65,0.24873,67,0.26444
ENSG00000157911,PEX10,28,-0.0701,20,-0.7306,44,0.82467
ENSG00000149527,PLCH2,32,0.09753,36,0.33957,20,-0.7236
ENSG00000157881,PANK4,17,-0.3529,17,-0.1793,27,0.68219
ENSG00000157870,PRXL2B,52,-0.3968,57,-0.0875,84,0.64408
ENSG00000177133,PRDM16-DT,25,-0.1090,18,-0.6906,40,0.83935
ENSG00000158109,TPRG1L,181,-0.3736,252,0.42099,207,-0.0018
ENSG00000116213,WRAP73,10,-0.7361,17,0.58807,16,0.28147
ENSG00000130764,LRRC47,49,-0.8296,101,0.86404,69,0.01540
ENSG00000196581,AJAP1,35,-0.3916,42,0.09284,51,0.44388
ENSG00000069424,KCNAB2,293,0.15183,241,-0.2907,299,0.12538
ENSG00000116254,CHD5,137,-0.1895,156,0.12194,158,0.12956
ENSG00000116251,RPL22,610,0.70008,375,-0.5325,376,-0.4750
ENSG00000116237,ICMT,25,-0.6158,34,0.19183,44,0.61216
ENSG00000158292,GPR153,15,-0.1581,15,-0.0754,19,0.32315
ENSG00000097021,ACOT7,232,-0.6236,425,0.82413,258,-0.2370
ENSG00000215788,TNFRSF25,14,-1.3130,27,0.17877,48,1.33269
ENSG00000171680,PLEKHG5,32,-0.4601,37,-0.0208,53,0.65241
ENSG00000162408,NOL9,28,-0.1734,35,0.30804,28,-0.1548
ENSG00000162413,KLHL21,26,-0.5330,31,-0.0418,48,0.75956
ENSG00000116273,PHF13,10,-0.9441,19,0.45956,23,0.68855
ENSG00000041988,THAP3,20,0.10215,22,0.27382,14,-0.6069
ENSG00000007923,DNAJC11,35,-0.0171,34,-0.1018,39,0.15363
ENSG00000171735,CAMTA1,174,-0.2827,230,0.37704,185,-0.0799
ENSG00000049245,VAMP3,22,0.21382,17,-0.3697,22,0.12262
ENSG00000049246,PER3,19,-1.1449,42,0.67162,44,0.65821
ENSG00000116288,PARK7,373,-0.2628,406,-0.0184,509,0.40033
