Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,131,1.13522,64,-0.0798,113,0.87067,69,0.04390,47,-0.5793,22,-1.8078
ENSG00000188290,HES4,30,-1.4868,224,1.88022,88,0.17741,53,-0.7812,69,-0.2112,69,-0.2336
ENSG00000187608,ISG15,30,-1.3361,138,1.13462,131,1.04130,54,-0.5389,56,-0.3753,60,-0.2945
ENSG00000078808,SDF4,30,-1.3731,187,1.66579,91,0.36310,82,0.27439,18,-2.0947,41,-0.9842
ENSG00000160087,UBE2J2,30,-0.6199,26,-0.8113,58,0.44022,51,0.32193,66,0.64576,33,-0.5311
ENSG00000131584,ACAP3,36,-1.6095,60,-0.8409,75,-0.5018,169,1.27293,114,0.16692,67,-0.7632
ENSG00000127054,INTS11,30,-0.8816,72,0.51910,51,-0.0381,64,0.45030,54,0.05471,37,-0.6367
ENSG00000224051,CPTP,30,-0.4360,71,0.99150,48,0.31667,42,0.14226,29,-0.4629,25,-0.7770
ENSG00000107404,DVL1,30,-1.4086,46,-0.7637,73,-0.0356,89,0.41032,57,-0.4344,99,0.54273
ENSG00000175756,AURKAIP1,30,-2.1232,55,-1.2183,175,0.62352,116,-0.0722,187,0.73204,144,0.33869
ENSG00000221978,CCNL2,30,-1.2165,136,1.25123,90,0.52987,72,0.21220,52,-0.3772,33,-1.1770
ENSG00000242485,MRPL20,30,-2.4806,124,-0.3447,202,0.45230,156,0.03019,207,0.49134,176,0.26044
ENSG00000205090,TMEM240,30,-1.0276,7,-3.0342,76,0.43854,79,0.73891,65,0.19239,53,-0.1704
ENSG00000160075,SSU72,39,-1.9950,141,-0.0372,194,0.48536,163,0.27223,188,0.43934,124,-0.2784
ENSG00000228594,FNDC10,87,1.02198,39,-0.3070,66,0.54181,36,-0.5577,36,-0.4541,46,-0.0639
ENSG00000197530,MIB2,30,-0.3090,26,-0.5485,43,0.27956,47,0.60235,26,-0.5177,30,-0.3218
ENSG00000189339,SLC35E2B,30,-0.2175,0,-6.4465,39,0.19321,45,0.61495,37,0.12885,34,0.00267
ENSG00000078369,GNB1,47,-3.2206,271,-0.6173,556,0.54889,459,0.31096,578,0.61488,384,-0.0752
ENSG00000187730,GABRD,30,-2.5289,68,-1.3158,207,0.43398,257,1.21656,162,0.03438,97,-0.8653
ENSG00000067606,PRKCZ,51,-2.1051,33,-2.7229,318,0.76297,261,0.59704,174,-0.2373,228,0.23534
ENSG00000162585,FAAP20,30,-0.7398,91,1.08608,108,1.40509,23,-1.3811,40,-0.2861,47,-0.0362
ENSG00000157933,SKI,30,-0.9433,71,0.41556,39,-0.5497,64,0.36484,65,0.27612,48,-0.2451
ENSG00000157916,RER1,30,-1.0518,50,-0.2646,75,0.38888,78,0.65342,34,-0.8559,54,-0.1620
ENSG00000157870,PRXL2B,30,-1.2997,75,0.12071,37,-0.9759,103,0.96281,50,-0.5132,62,-0.2090
ENSG00000158109,TPRG1L,30,-2.7610,136,-0.4915,259,0.54952,278,0.99267,153,-0.3093,130,-0.6367
ENSG00000130764,LRRC47,595,3.03156,49,-1.5017,97,-0.4723,90,-0.7384,45,-1.6236,58,-1.3621
ENSG00000196581,AJAP1,30,-0.8267,14,-1.9027,48,-0.0930,81,1.18019,36,-0.5523,43,-0.3110
ENSG00000069424,KCNAB2,88,-1.6620,73,-1.9333,297,0.23627,327,0.55969,412,0.79478,231,-0.1974
ENSG00000116254,CHD5,30,-2.6700,39,-2.2938,337,1.12322,241,0.76572,153,-0.2159,146,-0.3299
ENSG00000116251,RPL22,30,-4.0710,1057,1.46792,330,-0.5168,373,-0.4181,411,-0.1690,582,0.46602
ENSG00000116237,ICMT,30,-0.7540,53,0.13692,48,-0.0177,74,1.05997,21,-1.2951,31,-0.7948
ENSG00000097021,ACOT7,34,-3.0241,70,-1.9655,420,0.85063,405,1.18243,243,-0.0712,151,-0.9096
ENSG00000162408,NOL9,30,-0.7298,31,-0.6653,38,-0.3503,66,0.75533,49,0.06118,42,-0.2429
ENSG00000007923,DNAJC11,30,-0.4529,46,0.24800,60,0.66785,47,0.37748,16,-1.4083,33,-0.3546
ENSG00000171735,CAMTA1,30,-2.7593,200,0.12181,305,0.83585,205,0.22260,155,-0.2859,182,-0.0330
ENSG00000116288,PARK7,32,-3.1690,151,-0.8815,291,0.15974,317,0.41367,402,0.70487,275,0.07383
ENSG00000142599,RERE,30,-1.8515,114,0.21234,94,-0.1093,119,0.38932,157,0.75432,75,-0.5182
ENSG00000074800,ENO1,482,-0.2065,452,-0.3113,465,-0.2655,678,0.48843,583,0.10087,459,-0.3216
ENSG00000171603,CLSTN1,30,-4.3851,220,-1.4979,804,0.54838,981,1.37993,415,-0.5286,395,-0.6735
