Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000188290,HES4,16,-4.1158,204,-0.4242,131,-1.1626,409,1.57274
ENSG00000131584,ACAP3,16,-3.6884,507,2.31043,224,0.29166,62,-2.2381
ENSG00000175756,AURKAIP1,760,1.50705,361,0.21518,179,-1.0201,264,-0.4750
ENSG00000179403,VWA1,16,-3.9725,204,-0.2483,146,-0.8189,346,1.27127
ENSG00000160075,SSU72,16,-3.7080,372,1.36347,144,-0.5362,176,-0.2495
ENSG00000078369,GNB1,16,-4.4425,274,-0.2993,443,0.61509,365,0.33030
ENSG00000067606,PRKCZ,16,-5.2825,2281,4.65676,77,-3.2233,115,-3.0343
ENSG00000069424,KCNAB2,16,-3.6247,581,3.03716,199,0.14438,20,-3.9600
ENSG00000116254,CHD5,16,-4.2821,1024,3.68085,261,-0.1867,4,-6.7523
ENSG00000116251,RPL22,16,-5.8938,312,-1.7418,555,-0.8113,1545,2.14105
ENSG00000171735,CAMTA1,24,-4.8305,2396,4.37650,199,-1.8956,95,-3.4430
ENSG00000116288,PARK7,637,1.32923,227,-0.4728,301,0.02968,243,-0.4802
ENSG00000074800,ENO1,16,-5.0829,657,0.51930,1160,1.88087,218,-1.7415
ENSG00000171603,CLSTN1,16,-5.1854,1185,1.73524,550,0.03492,343,-1.0218
ENSG00000054523,KIF1B,16,-4.3167,509,1.11030,323,0.16403,246,-0.4473
ENSG00000116661,FBXO2,16,-3.8282,343,0.97878,522,2.08506,39,-3.1426
ENSG00000132879,FBXO44,16,-3.6979,623,3.13649,116,-0.8875,61,-2.2805
ENSG00000116786,PLEKHM2,16,-3.5284,290,1.06587,176,0.04708,150,-0.3410
ENSG00000077549,CAPZB,16,-5.5591,2346,3.35851,215,-1.9588,288,-1.8335
ENSG00000173436,MICOS10,16,-4.6597,369,-0.0328,261,-0.6459,526,1.04268
ENSG00000158747,NBL1,16,-4.1190,493,1.36482,314,0.37028,174,-0.9057
ENSG00000162545,CAMK2N1,16,-5.1777,452,-0.3123,844,0.91036,556,0.09127
ENSG00000158828,PINK1,975,1.78312,204,-0.9840,465,0.49465,231,-0.9982
ENSG00000127483,HP1BP3,16,-5.3292,2036,3.45346,142,-2.3481,249,-1.8086
ENSG00000076864,RAP1GAP,16,-4.0210,761,3.02227,156,-0.7687,81,-2.1824
ENSG00000070831,CDC42,16,-4.4051,373,0.32149,207,-0.7406,415,0.81731
ENSG00000142676,RPL11,25,-6.0109,250,-2.8650,770,-1.1243,2806,2.76264
ENSG00000001461,NIPAL3,16,-3.2620,221,0.86141,46,-1.8909,185,0.75152
ENSG00000169504,CLIC4,16,-3.8359,230,0.14751,66,-1.9436,326,1.42127
ENSG00000117632,STMN1,16,-5.1895,930,1.11130,223,-1.5035,637,0.45689
ENSG00000142669,SH3BGRL3,16,-4.6696,407,0.13718,154,-1.5145,566,1.31183
ENSG00000198830,HMGN2,16,-4.2312,204,-0.5605,149,-1.0780,447,1.62703
ENSG00000090273,NUDC,16,-3.4933,251,0.79887,173,0.05670,162,-0.0970
ENSG00000126709,IFI6,16,-4.0495,204,-0.3434,200,-0.3756,348,1.07881
ENSG00000130770,ATP5IF1,16,-3.4630,204,0.40973,202,0.39409,163,-0.0219
ENSG00000162512,SDC3,16,-4.3393,473,0.90815,492,0.99979,190,-1.0319
ENSG00000121753,ADGRB2,16,-4.0116,701,2.68935,264,0.17948,53,-2.8545
ENSG00000184007,PTP4A2,16,-5.2354,204,-1.6937,214,-1.6187,1044,2.61385
ENSG00000175130,MARCKSL1,16,-5.3792,271,-1.4024,477,-0.4614,1010,1.73948
ENSG00000121905,HPCA,16,-4.4756,993,2.81034,259,-0.4345,113,-2.1494
ENSG00000134686,PHC2,16,-3.6709,256,0.58327,117,-0.8396,236,0.62806
ENSG00000116560,SFPQ,16,-3.6008,204,0.22473,174,-0.0725,214,0.47118
ENSG00000020129,NCDN,16,-4.2996,973,3.30263,270,-0.1506,33,-3.9010
ENSG00000116871,MAP7D1,232,-1.6094,2087,3.08015,169,-2.2260,288,-1.7161
ENSG00000197982,C1orf122,16,-5.5577,1990,2.59622,288,-1.4974,427,-1.0979
ENSG00000168653,NDUFS5,16,-4.9504,406,-0.2212,289,-0.8101,680,1.27245
ENSG00000127603,MACF1,465,1.03620,310,0.39213,243,-0.0738,176,-0.8340
ENSG00000116983,HPCAL4,16,-3.8765,624,2.59486,244,0.20602,54,-2.6869
ENSG00000065978,YBX1,164,-1.3669,204,-1.1360,144,-1.6928,672,1.96546
ENSG00000117394,SLC2A1,275,-1.9811,273,-2.1411,284,-2.0786,1898,2.76998
ENSG00000066322,ELOVL1,16,-3.6198,215,0.30342,87,-1.2756,257,1.05091
ENSG00000142949,PTPRF,16,-3.3077,204,0.62592,353,1.97983,50,-2.1616
