Sample,pre_drop,post_drop
10c_ERC_SVB,1262252,6049
11c_ERC_SVB,1411166,5410
12c_ERC_SVB,1415476,5345
13c_ERC_SVB,1732806,5665
14c_ERC_SVB,1440975,4775
15c_ERC_SVB,1238836,4536
16c_ERC_SVB,1346127,5254
17c_ERC_SVB,1331763,4917
18c_ERC_SVB,1373022,5774
19c_ERC_SVB,1715846,6819
1c_ERC_SVB,1050390,4850
20c_ERC_SVB,1525309,5187
21c_ERC_SVB,1513517,4119
22c_ERC_SVB,1324833,4143
23c_ERC_SVB,1380736,6288
24c_ERC_SVB,965696,3019
25c_ERC_SVB,1474593,4303
26c_ERC_SVB,1183653,7847
27c_ERC_SVB,1412134,5072
28c_ERC_SVB,1227139,3808
29c_ERC_SVB,1046859,4212
2c_ERC_SVB,1317064,5856
30c_ERC_SVB,1232355,4690
31c_ERC_SVB,1045624,5222
3c_ERC_SVB,1218406,6547
4c_ERC_SVB,1036563,5218
5c_ERC_SVB,588092,1794
6c_ERC_SVB,1019712,5774
7c_ERC_SVB,1078323,4920
8c_ERC_SVB,581462,1997
9c_ERC_SVB,989981,4662
