"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","OPC.1","P3H2",8.48338110484565,7.0451766282607e-14,7.69333287806068e-10,2472,1.50722678818756,"ENSG00000090530"
"2",2,"enrichment","OPC.1","CLIC4",6.26625022342543,6.12883533365543e-09,3.34634409217587e-05,138,0.5132927401406,"ENSG00000169504"
"3",3,"enrichment","OPC.1","LPIN2",4.01788657651249,0.00010330395595701,0.376026399683518,9133,0.199271080920748,"ENSG00000101577"
"4",4,"enrichment","OPC.1","RPL41",3.15710493473529,0.00201934279553208,0.999786276430975,6784,0.4157965773496,"ENSG00000229117"
"5",5,"enrichment","OPC.1","SLC26A11",3.05512314811805,0.00277728950411241,0.999786276430975,9085,0.296504413572498,"ENSG00000181045"
"6",6,"enrichment","OPC.1","SNAP25-AS1",2.99792554778862,0.00331006345641552,0.999786276430975,9962,0.248796756293413,"ENSG00000227906"
"7",7,"enrichment","OPC.1","CCDC25",2.98043910730716,0.00349086045718149,0.999786276430975,4759,0.250467234673987,"ENSG00000147419"
"8",8,"enrichment","OPC.1","ENSG00000253361",2.95859591521059,0.00372947890466712,0.999786276430975,4794,0.264354100672594,"ENSG00000253361"
"9",9,"enrichment","OPC.1","CLDN16",2.94971112395943,0.00383076393789123,0.999786276430975,2474,0.403384704176019,"ENSG00000113946"
"10",10,"enrichment","OPC.1","CCDC112",2.93870161016838,0.00395977995788227,0.999786276430975,3279,0.221230659985449,"ENSG00000164221"
"11",1,"enrichment","OPC.2","RPL37",8.94608399661458,5.84113515161643e-15,6.37851958556514e-11,3071,0.94149892900167,"ENSG00000145592"
"12",2,"enrichment","OPC.2","RPL36",7.64421387835626,5.96652100800399e-12,3.25772047037018e-08,9396,0.870702299289583,"ENSG00000130255"
"13",3,"enrichment","OPC.2","TNK2",7.23600698162531,4.91102205397189e-11,1.78761202764577e-07,2495,0.390385343900795,"ENSG00000061938"
"14",4,"enrichment","OPC.2","ACAP3",7.11119633533076,9.28089538198411e-11,1.89239843121841e-07,11,0.513934755652642,"ENSG00000131584"
"15",5,"enrichment","OPC.2","SRRM2",7.06812862762899,1.15495079718094e-10,1.89239843121841e-07,8207,0.374992240448282,"ENSG00000167978"
"16",6,"enrichment","OPC.2","RPL28",7.06210610709629,1.19076858281512e-10,1.89239843121841e-07,9850,0.73797366148377,"ENSG00000108107"
"17",7,"enrichment","OPC.2","RPL13",7.0201181224279,1.47293347051611e-10,1.89239843121841e-07,8577,0.593266614081021,"ENSG00000167526"
"18",8,"enrichment","OPC.2","RPLP2",7.01818530329208,1.48740597803214e-10,1.89239843121841e-07,5990,0.840850043445408,"ENSG00000177600"
"19",9,"enrichment","OPC.2","ADGRB1",7.0088046624862,1.55966903671847e-10,1.89239843121841e-07,5059,0.320427456904221,"ENSG00000181790"
"20",10,"enrichment","OPC.2","RPL34",6.68468922051824,7.91089358617241e-10,8.29705680813442e-07,2806,0.804957907997588,"ENSG00000109475"
"21",1,"enrichment","OPC.3","SEMA4D",6.28757807697374,5.53101641543631e-09,1.63239727720444e-06,5272,0.703237466095475,"ENSG00000187764"
"22",2,"enrichment","OPC.3","MBP",6.21744767313503,7.75499869560184e-09,2.22854173042032e-06,9312,0.297519578420062,"ENSG00000197971"
"23",3,"enrichment","OPC.3","DLG1",6.19667788560336,8.56849941254549e-09,2.39917983551274e-06,2510,0.304507752653648,"ENSG00000075711"
"24",4,"enrichment","OPC.3","FRMD4A",5.82270885580896,5.02285629711118e-08,1.09699181528908e-05,5573,0.504619657167626,"ENSG00000151474"
"25",5,"enrichment","OPC.3","PKP4",5.81007777028162,5.32694781323539e-08,1.14059353177511e-05,1510,0.282073178448724,"ENSG00000144283"
"26",6,"enrichment","OPC.3","PPP2R2B",5.71341493535601,8.33485863715041e-08,1.59678344416987e-05,3429,0.242973846298572,"ENSG00000156475"
"27",7,"enrichment","OPC.3","GNB4",5.70276114359926,8.7543469822274e-08,1.64823222492971e-05,2421,0.592934399609484,"ENSG00000114450"
"28",8,"enrichment","OPC.3","TMEM108",5.65021345254452,1.11456368331622e-07,1.99525170849395e-05,2290,0.279268461490716,"ENSG00000144868"
"29",9,"enrichment","OPC.3","SH3RF3",5.57184021424608,1.59435191227096e-07,2.80811659387079e-05,1397,0.537880655693067,"ENSG00000172985"
"30",10,"enrichment","OPC.3","FRMD4B",5.45194402740267,2.74278323760597e-07,4.53805953858442e-05,2113,0.239197932164939,"ENSG00000114541"
"31",1,"enrichment","OPC.4","B2M",11.5022845423784,4.8265486432866e-21,5.27059111846896e-17,7876,1.52456282763188,"ENSG00000166710"
"32",2,"enrichment","OPC.4","PSMA1",7.3694740954817,2.47237939067768e-11,1.34991914731001e-07,6058,0.413819689869205,"ENSG00000129084"
"33",3,"enrichment","OPC.4","GPATCH2",5.87625184069721,3.91078476199948e-08,8.54115392020687e-05,889,0.346879285611391,"ENSG00000092978"
"34",4,"enrichment","OPC.4","NNT",4.75681001907502,5.574349589069e-06,0.00335811197926306,3087,0.190520273528106,"ENSG00000112992"
"35",5,"enrichment","OPC.4","CNOT4",4.18768348857505,5.43231374312598e-05,0.011179679128598,4584,0.15194858084036,"ENSG00000080802"
"36",6,"enrichment","OPC.4","HLA-C",4.08686115153416,7.97333646486807e-05,0.0137200497834298,3671,0.418397232304412,"ENSG00000204525"
"37",7,"enrichment","OPC.4","PHLDA1",4.04516282805124,9.32784273294453e-05,0.014346484879402,6867,0.209479363821609,"ENSG00000139289"
"38",8,"enrichment","OPC.4","SYT11",3.97909687074271,0.000119341223179878,0.0164962804699274,664,0.173809959999162,"ENSG00000132718"
"39",9,"enrichment","OPC.4","WDR44",3.82102837457015,0.000212816188625443,0.0252603563020635,10791,0.225819293650667,"ENSG00000131725"
"40",10,"enrichment","OPC.4","SLITRK1",3.7763814207179,0.000249868400461926,0.0272856293304424,7303,0.238115899099751,"ENSG00000178235"
