cluster,HumanPilot,spatialDLPFC,spatialERC,snDLPFC_PEC,sestan_EC
Astro.01,Layer1,L1~Sp09D02,L1~Sp09D05,Astro,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP
Astro.02,Layer1,L1~Sp09D02,L1~Sp09D05,Astro,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1
Astro.03,Layer1,L1~Sp09D02,L1~Sp09D05,Astro,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP
Astro.04,Layer1,L1~Sp09D02,L1~Sp09D05,Astro,Astro.AQP4.GFAP
Astro.05,Layer1,L1~Sp09D02,L1~Sp09D05,Astro,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1
Excit.L2,Layer3,L3~Sp09D05,L2.3~Sp09D01,L2.3.IT,EC.L2.CUX2.CALB1
Excit.L2_5.1,Layer3*,L3~Sp09D05,L2.3~Sp09D01/L5~Sp09D03,L2.3.IT,EC.L2.CUX2.CALB1
Excit.L2_5.2,Layer3,L3~Sp09D05,L5~Sp09D03/L2.3~Sp09D01,L2.3.IT,EC.L3.PCP4.ADARB2/EC.L2.RELN.BMPR1B
Excit.L5.1,Layer5*,L3~Sp09D05/L5~Sp09D04/L6~Sp09D07/L4~Sp09D08,L5~Sp09D03,L5.IT,EC.L5.RORB.TLL1
Excit.L5.2,Layer3/Layer5/Layer4*,L3~Sp09D05/L4~Sp09D08,L5~Sp09D03,L5.IT/L2.3.IT*,EC.L2.RELN.BCL11B
Excit.L5_6_NP,Layer5*,L5~Sp09D04,L5~Sp09D03,L5.6.NP,EC.L56.TLE4.NXPH2
Excit.L6_CT,Layer6*,L6~Sp09D07,L6~Sp09D04/L5~Sp09D03,L6.CT,EC.L6.TLE4.SULF1
Excit.L6b,Layer6*,L6~Sp09D07,L6~Sp09D04,L6b,EC.L6b.TLE4.CCN2
Inhib.Chandelier,Layer4*,L4~Sp09D08,Inhib~Sp09D09,Chandelier,InN.PVALB.PLEKHH2
Inhib.Lamp5_Lhx6,Layer4/Layer3*,L3~Sp09D05/L4~Sp09D08*,Inhib~Sp09D09,Lamp5.Lhx6,InN.LAMP5.CHST9/InN.LAMP5.KIT
Inhib.Pax6,Layer3*,L3~Sp09D05/L4~Sp09D08*,Inhib~Sp09D09,Pax6,InN.NR2F2.SLC17A8
Inhib.Pvalb,Layer4*,L4~Sp09D08,Inhib~Sp09D09,Pvalb,InN.PVALB.PLCL1/InN.PVALB.MEPE
Inhib.Sst,Layer4/Layer5*,L4~Sp09D08/L3~Sp09D05,Inhib~Sp09D09,Sst,InN.SST.OTOF/InN.SST.EPB41L4A
Inhib.Vip,Layer3/Layer4/Layer2/Layer5*,L3~Sp09D05/L2~Sp09D03*,Inhib~Sp09D09,Vip,InN.VIP.ABI3BP/InN.VIP.NOX4/InN.VIP.SCTR/InN.VIP.CHRNA2
Macro,WM*,L1~Sp09D01*,Vasc~Sp09D08*,Immune,Micro.C1QB.CD83/Micro.C1QB.P2RY12
Micro.1,WM*,L1~Sp09D01*,Vasc~Sp09D08*,Micro,Micro.C1QB.P2RY12
Micro.2,WM*,L1~Sp09D01*,Vasc~Sp09D08*,Micro,Micro.C1QB.P2RY12
Micro.3,WM*,L1~Sp09D01*,Vasc~Sp09D08*,Micro,Micro.C1QB.P2RY12
Micro.4,WM*,L1~Sp09D01*,Vasc~Sp09D08*,Micro,Micro.C1QB.P2RY12
Micro.5,Layer1*,L1~Sp09D01*,Vasc~Sp09D08*,Micro,Micro.C1QB.P2RY12
OPC.1,Layer2*,L1~Sp09D02/L2~Sp09D03*,L1~Sp09D05*,OPC,OPC.PDGFRA.GRIA4
OPC.2,Layer2*,L1~Sp09D02*,L1~Sp09D05*,OPC,OPC.PDGFRA.GRIA4
OPC.3,Layer2*,L2~Sp09D03*,L1~Sp09D05*,OPC,OPC.PDGFRA.GRIA4
OPC.4,Layer2*,L1~Sp09D02*,L1~Sp09D05*,OPC,OPC.PDGFRA.GRIA4
OPC.5,Layer1*,L1~Sp09D02*,L1~Sp09D05*,OPC,OPC.PDGFRA.GRIA4
Oligo.01,WM,WM~Sp09D06,WM~Sp09D06,Oligo,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098
Oligo.02,WM,WM~Sp09D06,WM~Sp09D06,Oligo,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2
Oligo.03,WM,WM~Sp09D06,WM~Sp09D06,Oligo,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098
Oligo.04,WM,WM~Sp09D06,WM~Sp09D06,Oligo,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098
Oligo.05,WM,WM~Sp09D06,WM~Sp09D06,Oligo,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098
Vasc.Endo,Layer1*,L1~Sp09D01,Vasc~Sp09D08,Endo,Endo.CLDN5.VWF/PC.CLDN5.ABCC9
Vasc.PC,Layer1*,L1~Sp09D01,Vasc~Sp09D08,PC,vSMC.ABCC9.P2RY14
Vasc.VLMC,Layer1*,L1~Sp09D01,Vasc~Sp09D08,VLMC,VLMC.COL1A1.COL1A2
