test,Green_Astro,n,cor
Astro.1,Ast.1,125,0.6851174229098493
Astro.1,Ast.10,270,0.3272452044433066
Astro.1,Ast.2,559,0.35335828532897523
Astro.1,Ast.3,328,-0.060680472210056624
Astro.1,Ast.4,321,-0.7600085463574688
Astro.1,Ast.5,511,-0.07239654078579176
Astro.1,Ast.6,164,0.19125569544900436
Astro.1,Ast.7,108,0.1992004544009203
Astro.1,Ast.8,383,0.12681919234223643
Astro.1,Ast.9,286,0.09829980870407622
Astro.2,Ast.1,125,-0.026297464354884528
Astro.2,Ast.10,270,0.2881953430249863
Astro.2,Ast.2,559,-0.18439799034738533
Astro.2,Ast.3,328,0.45926046819984334
Astro.2,Ast.4,321,-0.2920977558013282
Astro.2,Ast.5,511,-0.09848451930763076
Astro.2,Ast.6,164,-0.4317823297610523
Astro.2,Ast.7,108,-0.16498083661871044
Astro.2,Ast.8,383,0.08503659347656689
Astro.2,Ast.9,286,-0.075267844548044
Astro.3,Ast.1,125,0.637577114725989
Astro.3,Ast.10,270,0.3765589450371901
Astro.3,Ast.2,559,0.10829725618982469
Astro.3,Ast.3,328,0.24295081370575503
Astro.3,Ast.4,321,-0.7419327045639206
Astro.3,Ast.5,511,-0.0864324436633093
Astro.3,Ast.6,164,0.06907691170314162
Astro.3,Ast.7,108,0.15583187471060458
Astro.3,Ast.8,383,0.18771820964690633
Astro.3,Ast.9,286,0.15918334553739014
Astro.4,Ast.1,125,-0.5666585670299941
Astro.4,Ast.10,270,-0.3196273301157331
Astro.4,Ast.2,559,-0.1301179890042151
Astro.4,Ast.3,328,-0.44102495394860036
Astro.4,Ast.4,321,0.803148202025034
Astro.4,Ast.5,511,0.30825586015762685
Astro.4,Ast.6,164,0.12554034846632608
Astro.4,Ast.7,108,0.1719142301286326
Astro.4,Ast.8,383,-0.1494215753714092
Astro.4,Ast.9,286,0.01670725725983236
Astro.5,Ast.1,125,-0.297484042006719
Astro.5,Ast.10,270,-0.21465117969311973
Astro.5,Ast.2,559,-0.19839092299137265
Astro.5,Ast.3,328,0.22189087845975053
Astro.5,Ast.4,321,0.14018675586628535
Astro.5,Ast.5,511,-0.35131756560085114
Astro.5,Ast.6,164,-0.3537430726992336
Astro.5,Ast.7,108,-0.5142913396551213
Astro.5,Ast.8,383,-0.057971079693652394
Astro.5,Ast.9,286,-0.21452217639188592
