"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Micro.1","GPNMB",3.41760020573589,0.000832660336936174,0.578079895344539,2612,0.962169374124846,"ENSG00000136235"
"2",2,"enrichment","Micro.1","ENSG00000234428",3.4078580621973,0.000860522117495589,0.578079895344539,4117,0.928048364582297,"ENSG00000234428"
"3",3,"enrichment","Micro.1","ENSG00000266846",3.33000459513389,0.0011166953912369,0.578079895344539,5584,0.801547384333919,"ENSG00000266846"
"4",4,"enrichment","Micro.1","BRWD3",3.14948903083743,0.00200923903521607,0.578079895344539,6438,0.275178510396941,"ENSG00000165288"
"5",5,"enrichment","Micro.1","ENSG00000286153",3.12351150499697,0.00218218610340191,0.578079895344539,6154,0.757893185069568,"ENSG00000286153"
"6",6,"enrichment","Micro.1","KCNMB1",3.1068994622468,0.00229990825299062,0.578079895344539,2178,0.676426437528441,"ENSG00000145936"
"7",7,"enrichment","Micro.1","ARL5A",3.09377576707832,0.00239703885622812,0.578079895344539,935,0.272386366824812,"ENSG00000162980"
"8",8,"enrichment","Micro.1","RNF20",3.09266364601445,0.0024054419448644,0.578079895344539,3316,0.689024998082864,"ENSG00000155827"
"9",9,"enrichment","Micro.1","APOC1",3.07243254750395,0.00256314432735094,0.578079895344539,5903,0.728331218494935,"ENSG00000130208"
"10",10,"enrichment","Micro.1","C11orf65",3.06257329834006,0.00264341357294167,0.578079895344539,3984,0.688393116126584,"ENSG00000166323"
"11",1,"enrichment","Micro.2","IL1RAPL1",6.38883532517484,2.43648381922311e-09,1.52901041929843e-05,6365,1.2224546777824,"ENSG00000169306"
"12",2,"enrichment","Micro.2","PCDH9",6.25881836866717,4.67230074651926e-09,1.52901041929843e-05,4513,0.970312170938168,"ENSG00000184226"
"13",3,"enrichment","Micro.2","LRRC7",5.97669313013385,1.87382913958755e-08,2.78041205081111e-05,230,1.29884758725228,"ENSG00000033122"
"14",4,"enrichment","Micro.2","FYN",5.95088612571141,2.12407337724302e-08,2.78041205081111e-05,2453,1.74811053625853,"ENSG00000010810"
"15",5,"enrichment","Micro.2","PLCB1",5.78537759683345,4.71247531798918e-08,5.1405251593732e-05,5985,1.38093132601875,"ENSG00000182621"
"16",6,"enrichment","Micro.2","CADM2",5.61496619291408,1.05653357652815e-07,9.3856346215739e-05,1328,1.01357727276628,"ENSG00000175161"
"17",7,"enrichment","Micro.2","MT-ATP6",5.58245019327209,1.23058293902747e-07,9.3856346215739e-05,6538,1.21983545099826,"ENSG00000198899"
"18",8,"enrichment","Micro.2","PPP2R2B",5.57227185638831,1.29061438646547e-07,9.3856346215739e-05,2139,1.18309203031534,"ENSG00000156475"
"19",9,"enrichment","Micro.2","NLGN1",5.48609571507258,1.92778782000296e-07,0.000113280751854654,1501,1.0565551213857,"ENSG00000169760"
"20",10,"enrichment","Micro.2","HECW2",5.45734921892047,2.20210576287028e-07,0.000113280751854654,1025,1.26299301172548,"ENSG00000138411"
"21",1,"enrichment","Micro.3","EIF1B-AS1",7.97718451683086,5.38207205609486e-13,3.52256616071409e-09,1229,4.4369378095936,"ENSG00000280739"
"22",2,"enrichment","Micro.3","MYRIP",3.58509364207152,0.00046791072872342,0.978056411352714,1228,0.982944332083764,"ENSG00000170011"
"23",3,"enrichment","Micro.3","FBXL17",3.48363270346052,0.000664990860300668,0.978056411352714,2042,0.226997281638692,"ENSG00000145743"
"24",4,"enrichment","Micro.3","SPATS2L",3.33900211167095,0.00108381770649094,0.978056411352714,1034,0.508881915125653,"ENSG00000196141"
"25",5,"enrichment","Micro.3","ATF7IP",3.3180873405497,0.00116170578540304,0.978056411352714,4092,0.233349395273709,"ENSG00000171681"
"26",6,"enrichment","Micro.3","SEC22B",3.20383660156041,0.00168778564937455,0.978056411352714,346,0.622282764365548,"ENSG00000265808"
"27",7,"enrichment","Micro.3","SHOC1",3.11805986431108,0.0022202074108004,0.978056411352714,3330,0.82503184305136,"ENSG00000165181"
"28",8,"enrichment","Micro.3","RNASEH2B-AS1",2.98895836027465,0.00332024701526974,0.978056411352714,4503,0.721107310179397,"ENSG00000233672"
"29",9,"enrichment","Micro.3","ENSG00000225889",2.884860877396,0.00455162149525056,0.978056411352714,771,0.363582991135004,"ENSG00000225889"
"30",10,"enrichment","Micro.3","STIMATE",2.8620679027942,0.00487180884072252,0.978056411352714,1286,0.593711309232589,"ENSG00000213533"
"31",1,"enrichment","Micro.4","CDIN1",8.80988192485804,5.03145007087438e-15,3.29308407138728e-11,4829,3.49066033839233,"ENSG00000186073"
"32",2,"enrichment","Micro.4","UGGT2",3.39693581711585,0.000892812058627705,0.909255707944059,4532,0.235336558715617,"ENSG00000102595"
