"cluster","type","scores","ncells","confident","type_short","type_rank","ct_fine"
"k10c21","Astrocytes",75231.3966820925,11902,TRUE,"Astro",1,"Astro.01"
"k10c11","Astrocytes",55063.5743830307,8170,TRUE,"Astro",2,"Astro.02"
"k10c25","Astrocytes",12681.2196981489,2413,TRUE,"Astro",3,"Astro.03"
"k10c13","Astrocytes",769.342401410824,627,TRUE,"Astro",4,"Astro.04"
"k10c39","Astrocytes",360.871453951457,420,TRUE,"Astro",5,"Astro.05"
"k10c32","Astrocytes",2182.9755454403,397,TRUE,"Astro",6,"Astro.06"
"k10c53","Astrocytes",1002.74900325198,392,TRUE,"Astro",7,"Astro.07"
"k10c42","Astrocytes",280.027372274533,288,TRUE,"Astro",8,"Astro.08"
"k10c41","Astrocytes",1265.19883810708,209,TRUE,"Astro",9,"Astro.09"
"k10c55","Astrocytes",309.746523614007,81,TRUE,"Astro",10,"Astro.10"
"k10c59","Astrocytes",60.5684005908294,14,TRUE,"Astro",11,"Astro.11"
"k10c04","Endothelial cells",4988.32119042607,1693,TRUE,"Endo",1,"Endo.1"
"k10c20","Microglial cells",41980.3198194583,8555,TRUE,"Micro",1,"Micro.1"
"k10c22","Microglial cells",15784.9425959178,3041,TRUE,"Micro",2,"Micro.2"
"k10c08","Microglial cells",9532.92092497851,2608,TRUE,"Micro",3,"Micro.3"
"k10c28","Microglial cells",2853.39647647277,650,TRUE,"Micro",4,"Micro.4"
"k10c49","Microglial cells",781.725323021017,211,TRUE,"Micro",5,"Micro.5"
"k10c38","Microglial cells",285.254186607933,158,TRUE,"Micro",6,"Micro.6"
"k10c19","Oligodendrocytes",105464.544615852,15354,TRUE,"Oligo",1,"Oligo.1"
"k10c54","Oligodendrocytes",97808.6890411025,15150,TRUE,"Oligo",2,"Oligo.2"
"k10c16","Oligodendrocytes",60626.0988942552,12833,TRUE,"Oligo",3,"Oligo.3"
"k10c02","Oligodendrocytes",11448.1825001243,5717,TRUE,"Oligo",4,"Oligo.4"
"k10c10","Oligodendrocytes",4194.40266033675,2395,TRUE,"Oligo",5,"Oligo.5"
"k10c34","Oligodendrocytes",4888.6366632779,707,TRUE,"Oligo",6,"Oligo.6"
"k10c30","Oligodendrocytes",1401.15187250844,257,TRUE,"Oligo",7,"Oligo.7"
"k10c46","Oligodendrocytes",437.309441005452,76,TRUE,"Oligo",8,"Oligo.8"
"k10c62","Oligodendrocytes",149.268660039168,29,TRUE,"Oligo",9,"Oligo.9"
"k10c18","Oligodendrocyte precursor cells",103448.382885304,13345,TRUE,"OPC",1,"OPC.1"
"k10c45","Oligodendrocyte precursor cells",12291.9231871205,1693,TRUE,"OPC",2,"OPC.2"
"k10c48","Oligodendrocyte precursor cells",1331.30883257279,202,TRUE,"OPC",3,"OPC.3"
"k10c52","Oligodendrocyte precursor cells",527.885783388109,77,TRUE,"OPC",4,"OPC.4"
"k10c50","Oligodendrocyte precursor cells",357.176209384519,56,TRUE,"OPC",5,"OPC.5"
"k10c15","Glutamatergic neurons",42781.359764203,8250,TRUE,"Excit",1,"Excit.01"
"k10c12","Glutamatergic neurons",7461.69317077711,2184,TRUE,"Excit",2,"Excit.02"
"k10c14","Glutamatergic neurons",8700.83960659458,1607,TRUE,"Excit",3,"Excit.03"
"k10c56","Glutamatergic neurons",6642.83727879351,1390,TRUE,"Excit",4,"Excit.04"
"k10c27","Glutamatergic neurons",4998.85771198485,994,TRUE,"Excit",5,"Excit.05"
"k10c23","Glutamatergic neurons",3527.29783909503,740,TRUE,"Excit",6,"Excit.06"
"k10c01","Glutamatergic neurons",3623.28194548078,707,TRUE,"Excit",7,"Excit.07"
"k10c24","Glutamatergic neurons",3620.2925841991,686,TRUE,"Excit",8,"Excit.08"
"k10c35","Glutamatergic neurons",3340.96765315354,639,TRUE,"Excit",9,"Excit.09"
"k10c36","Glutamatergic neurons",3063.13616873165,639,TRUE,"Excit",10,"Excit.10"
"k10c26","Glutamatergic neurons",1258.18643057861,258,TRUE,"Excit",11,"Excit.11"
"k10c31","Glutamatergic neurons",1046.3396430179,218,TRUE,"Excit",12,"Excit.12"
"k10c51","Glutamatergic neurons",1046.10823400265,198,TRUE,"Excit",13,"Excit.13"
"k10c29","Glutamatergic neurons",1008.38104821296,193,TRUE,"Excit",14,"Excit.14"
"k10c05","Glutamatergic neurons",774.011583733783,157,TRUE,"Excit",15,"Excit.15"
"k10c33","Glutamatergic neurons",598.420326148085,127,TRUE,"Excit",16,"Excit.16"
"k10c40","Glutamatergic neurons",492.560111526086,115,TRUE,"Excit",17,"Excit.17"
"k10c06","Glutamatergic neurons",117.522051551427,89,TRUE,"Excit",18,"Excit.18"
"k10c57","Glutamatergic neurons",194.675045214988,37,TRUE,"Excit",19,"Excit.19"
"k10c60","Glutamatergic neurons",132.220710579141,31,TRUE,"Excit",20,"Excit.20"
"k10c37","Glutamatergic neurons",150.952100037131,29,TRUE,"Excit",21,"Excit.21"
"k10c58","Glutamatergic neurons",123.053198554842,24,TRUE,"Excit",22,"Excit.22"
