gene_name,Layer,n_studies,studies
SNAP25,GM,1,Maynard et al.
AQP4,Layer1,1,HumanPilot RNAScope
FABP7,Layer1,1,Maynard et al.
MT-ATP8,Layer1,1,spatialDLPFC
MT1G,Layer1,1,HumanPilot
RELM,Layer1,1,ERC RNAScope
DACT1,Layer2,1,HumanPilot
ENC1,Layer2,1,Maynard et al.
HPCAL1,Layer2,1,"HumanPilot RNAScope, spatialDLPFC"
CARTPT,Layer3,1,"HumanPilot, spatialDLPFC"
FREM3,Layer3,1,ERC RNAScope
NEFM,Layer4,1,spatialDLPFC
PVALB,Layer4,1,Maynard et al.
VAMP1,Layer4,1,HumanPilot
PCP4,Layer5,1,"HumanPilot, spatialDLPFC"
TRABD2A,Layer5,1,"ERC RNAScope, HumanPilot RNAScope"
ETV1,Layer5a,1,Gerlei et al.
BCL11B,Layer5b,1,Gerlei et al.
CCK,Layer6,1,Maynard et al.
ISLR,Layer6,1,HumanPilot
KRT17,Layer6,1,HumanPilot RNAScope
NPTX1,Layer6,1,spatialDLPFC
CLDN5,Vasc,1,spatialDLPFC
ABCA2,WM,1,spatialDLPFC
MBP,WM,1,"ERC RNAScope, spatialDLPFC"
NDRG1,WM,1,HumanPilot
