"","q","loglik"
"1",2,-2860958.46353248
"2",3,-2872854.70571142
"3",4,-2886689.99228183
"4",5,-2908130.28279205
"5",6,-2919703.3363947
"6",7,-2939083.78529368
"7",8,-2965068.91339284
"8",9,-2969906.41471969
"9",10,-3099510.04580767
"10",11,-3085098.06859944
"11",12,-3076099.28421507
"12",13,-3068821.13515868
"13",14,-3052263.99840999
"14",15,-3047823.63182808
"15",16,-3042939.57012794
"16",17,-3022861.94351878
"17",18,-3014619.23603168
"18",19,-3011624.83833055
"19",20,-3002375.56108465
"20",21,-2995417.83967915
"21",22,-2989387.73187384
"22",23,-2988667.36622133
"23",24,-2981959.73327804
"24",25,-2977173.22118058
"25",26,-2968656.74123217
"26",27,-2963309.98160473
"27",28,-2958184.04364282
