"","Sp11D01","Sp11D02","Sp11D03","Sp11D04","Sp11D05","Sp11D06","Sp11D07","Sp11D08","Sp11D09","Sp11D10","Sp11D11"
"Sp10D01",0.785647367434888,0.000991878990763127,0.0771389657022576,0.000755831930463462,3.44020916471722e-05,0.000318410494809909,0,3.76718779431155e-05,0,0.000295246530853262,8.80630531460526e-05
"Sp10D02",0.0411051006998564,0.69691796208105,0.100369415208754,0.00107035408470262,0.000144759698899826,0.00299059322494698,0.000439525312662325,0.000312382856428839,0.000519190063500939,0.00313255168710284,0.000141919460706049
"Sp10D03",0.000354347195825146,0.0135300635679711,0.301289352590095,0.439710171345242,0.000761687137008474,0.00032478077297824,0.000136221223266585,0.000586348428931121,0.000590184773232851,0.00931079323797139,3.97203686050207e-05
"Sp10D04",3.6952183874067e-05,0.0398472353656888,0.000162820043147311,0.144266644556836,0.393825910931174,0.00636363636363636,0.00205578397599733,0.000439859245041587,0.000387983593836603,0.00116921078272166,0.0136842105263158
"Sp10D05",0.00032074780058651,3.91634683167541e-05,0.000103428660081709,0.0617998860831593,0.398658391323428,4.05580791693705e-05,0.000468859889036493,0.00111307867442449,0.000156067108856808,0.000688028307450364,0.00333312370291177
"Sp10D06",0.00248333962026908,0.0151147868244688,0.00112374855274808,0.000524480918150125,0.00204309063893016,0.895239654984169,0.00140160308352678,0.00053635479869934,0.0011378057853048,0.000840585443037975,0.0238910536466328
"Sp10D07",0,0.000269614451334592,8.51716208159441e-05,0.000226338224753857,0.00375626043405676,0.00111226972540841,0.406473029045643,0.0036064748804831,0.0034311405584477,0.000349137630053767,0.501494098311669
"Sp10D08",0.000447828034034931,0.000327847354271851,0.000164527805199079,0.0004023997658765,0.00645470640306875,0.0039638174611241,0.00259388744784031,0.918500154942671,0.000843691996175263,0.00026395671109938,0.0239213384208981
"Sp10D09",0.000261670504500733,0.000438461875739904,0.000541777028653985,0.00142682429677945,0.00112416964741952,0.000410396716826265,0.000793887069564354,0.000351638047236711,0.949990345626569,0,0.00204406086759028
"Sp10D10",0.00182149362477231,0.00133815730782574,0.0116270672347801,0.00329741506212094,0.000884225418533365,0.000880418457714019,0,0,0.000133600534402138,0.77266081871345,0.000942240648261566
