"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"vWMd",-0.691984492577895,-0.792569838721465,-2.30943788963501,0.0300076044951217,0.330083649446339,-3.52400134290371
"vL2",0.487339304026057,0.259000486085332,1.79309028855425,0.0858017388969626,0.395906557808743,-4.11859123478439
"vL5b",0.478795600056163,0.286552073934793,1.67086840462002,0.107974515766021,0.395906557808743,-4.24765992869973
"vInhib",0.205479603446355,-1.25117312581649,1.32306758034759,0.198505293546984,0.545889557254206,-4.5271671599982
"vWMpv",-0.323880970891032,-0.160671088969611,-1.05357859977536,0.302756958667088,0.628097964766821,-4.75762173466432
"vL6",-0.17906856256471,0.529029418760482,-0.968560156237187,0.342598889872812,0.628097964766821,-4.81338397365759
"vL5a",-0.177444365699776,0.126345261739745,-0.740146238517839,0.466520268928837,0.667406857558197,-4.97852723197856
"vL1",-0.218749283365604,0.648755800681876,-0.708822589940946,0.485386805496871,0.667406857558197,-4.83479664596143
"vLD",0.101522897343373,0.72063224358239,0.585514074229008,0.563766578211373,0.677989601824719,-4.93177785646036
"vWMuf",0.170378045888605,0.19735714821347,0.507739992125251,0.616354183477017,0.677989601824719,-4.99395131538081
"vVasc",-0.0169685746915353,-0.563258379490516,-0.0599156175463738,0.952727954396725,0.952727954396725,-5.02638727935526
