metric,name,value,form,SpD
Min.,APOE_carrier,0,global,L2.3_Sp09D01
Min.,round,0,global,L2.3_Sp09D01
Min.,Sex,0,global,L2.3_Sp09D01
Min.,Visium_slide,0,global,L2.3_Sp09D01
Min.,APOE_num,5.757150524330814e-10,global,L2.3_Sp09D01
Min.,Anc_Afr,8.670786122313857e-12,global,L2.3_Sp09D01
Min.,Age,5.5688122557785475e-10,global,L2.3_Sp09D01
Min.,Rin,3.620008583264392e-13,global,L2.3_Sp09D01
Min.,ncells,2.384867721040969e-10,global,L2.3_Sp09D01
Min.,Residuals,0.05207518514031202,global,L2.3_Sp09D01
1st Qu.,APOE_carrier,0,global,L2.3_Sp09D01
1st Qu.,round,0,global,L2.3_Sp09D01
1st Qu.,Sex,0,global,L2.3_Sp09D01
1st Qu.,Visium_slide,0,global,L2.3_Sp09D01
1st Qu.,APOE_num,0.004640498147220841,global,L2.3_Sp09D01
1st Qu.,Anc_Afr,0.004717460228393734,global,L2.3_Sp09D01
1st Qu.,Age,0.0037757367655814637,global,L2.3_Sp09D01
1st Qu.,Rin,0.004836843029722631,global,L2.3_Sp09D01
1st Qu.,ncells,0.009977242753690106,global,L2.3_Sp09D01
1st Qu.,Residuals,0.5605998505849759,global,L2.3_Sp09D01
Median,APOE_carrier,0,global,L2.3_Sp09D01
Median,round,0,global,L2.3_Sp09D01
Median,Sex,0,global,L2.3_Sp09D01
Median,Visium_slide,1.3168639704587417e-11,global,L2.3_Sp09D01
Median,APOE_num,0.019904529977811253,global,L2.3_Sp09D01
Median,Anc_Afr,0.021338017537628037,global,L2.3_Sp09D01
Median,Age,0.016607167123570993,global,L2.3_Sp09D01
Median,Rin,0.022460305773710564,global,L2.3_Sp09D01
Median,ncells,0.042202945409587106,global,L2.3_Sp09D01
Median,Residuals,0.6964854359834827,global,L2.3_Sp09D01
Mean,APOE_carrier,0.010663754879573861,global,L2.3_Sp09D01
Mean,round,0.010545472037472312,global,L2.3_Sp09D01
Mean,Sex,0.01053909976018111,global,L2.3_Sp09D01
Mean,Visium_slide,0.060448565276665776,global,L2.3_Sp09D01
Mean,APOE_num,0.03800321927914995,global,L2.3_Sp09D01
Mean,Anc_Afr,0.03366455684665821,global,L2.3_Sp09D01
Mean,Age,0.03596063838473512,global,L2.3_Sp09D01
Mean,Rin,0.04828086107510771,global,L2.3_Sp09D01
Mean,ncells,0.0770034569936438,global,L2.3_Sp09D01
