metric,name,value,form,SpD
Min.,APOE_carrier,0,global,WM_Sp09D06
Min.,round,0,global,WM_Sp09D06
Min.,Sex,0,global,WM_Sp09D06
Min.,Visium_slide,0,global,WM_Sp09D06
Min.,APOE_num,3.551516877614643e-11,global,WM_Sp09D06
Min.,Anc_Afr,2.536484181582633e-10,global,WM_Sp09D06
Min.,Age,2.7426536916902736e-10,global,WM_Sp09D06
Min.,Rin,2.0859704439962306e-10,global,WM_Sp09D06
Min.,ncells,6.375742237423838e-10,global,WM_Sp09D06
Min.,Residuals,0.051217973793747366,global,WM_Sp09D06
1st Qu.,APOE_carrier,0,global,WM_Sp09D06
1st Qu.,round,0,global,WM_Sp09D06
1st Qu.,Sex,0,global,WM_Sp09D06
1st Qu.,Visium_slide,0,global,WM_Sp09D06
1st Qu.,APOE_num,0.002813259032778021,global,WM_Sp09D06
1st Qu.,Anc_Afr,0.003329842107483522,global,WM_Sp09D06
1st Qu.,Age,0.00408490285475002,global,WM_Sp09D06
1st Qu.,Rin,0.004153674182077086,global,WM_Sp09D06
1st Qu.,ncells,0.00947884034124967,global,WM_Sp09D06
1st Qu.,Residuals,0.5832411195458684,global,WM_Sp09D06
Median,APOE_carrier,0,global,WM_Sp09D06
Median,round,0,global,WM_Sp09D06
Median,Sex,0,global,WM_Sp09D06
Median,Visium_slide,4.00813747500059e-17,global,WM_Sp09D06
Median,APOE_num,0.012594123787269956,global,WM_Sp09D06
Median,Anc_Afr,0.013670444372911102,global,WM_Sp09D06
Median,Age,0.015501571646045856,global,WM_Sp09D06
Median,Rin,0.01711237779731866,global,WM_Sp09D06
Median,ncells,0.04471756058037384,global,WM_Sp09D06
Median,Residuals,0.7432858158771992,global,WM_Sp09D06
Mean,APOE_carrier,0.01068556175111946,global,WM_Sp09D06
Mean,round,0.010999680976705728,global,WM_Sp09D06
Mean,Sex,0.009135129976708525,global,WM_Sp09D06
Mean,Visium_slide,0.05376164551599346,global,WM_Sp09D06
Mean,APOE_num,0.030473460625841848,global,WM_Sp09D06
Mean,Anc_Afr,0.0267824761187584,global,WM_Sp09D06
Mean,Age,0.0322380104125158,global,WM_Sp09D06
