"","SpD","deg-1","deg0","degNA","deg1","mod","deg_total"
"1","Inhib~Sp09D09",0,11322,19172,NA,"carrier_n0",0
"2","L1~Sp09D05",0,10830,19664,NA,"carrier_n0",0
"3","L2.3~Sp09D01",0,12690,17804,NA,"carrier_n0",0
"4","L5~Sp09D03",0,13076,17418,NA,"carrier_n0",0
"5","L6~Sp09D04",0,13231,17263,NA,"carrier_n0",0
"6","LD~Sp09D02",0,14319,16175,NA,"carrier_n0",0
"7","Vasc~Sp09D08",0,7217,23277,NA,"carrier_n0",0
"8","WM.uf~Sp09D07",3,2318,28173,NA,"carrier_n0",3
"9","WM~Sp09D06",0,9249,21245,NA,"carrier_n0",0
"10","Inhib~Sp09D09",NA,11322,19172,NA,"carrier_n1",0
"11","L1~Sp09D05",NA,10830,19664,NA,"carrier_n1",0
"12","L2.3~Sp09D01",NA,12690,17804,NA,"carrier_n1",0
"13","L5~Sp09D03",NA,13076,17418,NA,"carrier_n1",0
"14","L6~Sp09D04",NA,13231,17263,NA,"carrier_n1",0
"15","LD~Sp09D02",NA,14319,16175,NA,"carrier_n1",0
"16","Vasc~Sp09D08",NA,7217,23277,NA,"carrier_n1",0
"17","WM.uf~Sp09D07",NA,2321,28173,NA,"carrier_n1",0
"18","WM~Sp09D06",NA,9249,21245,NA,"carrier_n1",0
"19","Inhib~Sp09D09",0,11322,19172,0,"carrier_n2",0
"20","L1~Sp09D05",0,10830,19664,0,"carrier_n2",0
"21","L2.3~Sp09D01",0,12690,17804,0,"carrier_n2",0
"22","L5~Sp09D03",0,13076,17418,0,"carrier_n2",0
"23","L6~Sp09D04",0,13231,17263,0,"carrier_n2",0
"24","LD~Sp09D02",0,14319,16175,0,"carrier_n2",0
"25","Vasc~Sp09D08",0,7217,23277,0,"carrier_n2",0
"26","WM.uf~Sp09D07",12,2306,28173,3,"carrier_n2",15
"27","WM~Sp09D06",0,9249,21245,0,"carrier_n2",0
"28","Inhib~Sp09D09",0,11322,19172,NA,"carrier_n3",0
"29","L1~Sp09D05",0,10830,19664,NA,"carrier_n3",0
"30","L2.3~Sp09D01",0,12690,17804,NA,"carrier_n3",0
"31","L5~Sp09D03",0,13076,17418,NA,"carrier_n3",0
"32","L6~Sp09D04",0,13231,17263,NA,"carrier_n3",0
"33","LD~Sp09D02",0,14319,16175,NA,"carrier_n3",0
"34","Vasc~Sp09D08",0,7217,23277,NA,"carrier_n3",0
"35","WM.uf~Sp09D07",4,2317,28173,NA,"carrier_n3",4
"36","WM~Sp09D06",0,9249,21245,NA,"carrier_n3",0
"37","Inhib~Sp09D09",0,11322,19172,0,"carrier_n4",0
"38","L1~Sp09D05",0,10830,19664,0,"carrier_n4",0
"39","L2.3~Sp09D01",0,12690,17804,0,"carrier_n4",0
"40","L5~Sp09D03",0,13076,17418,0,"carrier_n4",0
