"cluster","carrier_AA","carrier_EA","anc_E2","anc_E4"
"Astro.1",19,2,2,86
"Astro.2",2,0,1,0
"Astro.3",2,0,1,2
"Astro.4",0,0,4,3
"Astro.5",0,0,0,5
"Macro",2,0,0,0
"Micro.1",18,1,3,31
"Micro.2",0,0,0,0
"Micro.3",0,4,3,14
"Micro.4",4,3,3,7
"Micro.5",0,0,0,0
"OPC.1",1,0,1,1
"OPC.2",0,0,1,0
"OPC.3",1,1,1,0
"OPC.4",3,0,4,4
"OPC.5",0,0,0,0
"Oligo.1",7,0,5,53
"Oligo.2",0,2,4,26
"Oligo.3",533,233,0,161
"Oligo.4",0,0,0,2
"Oligo.5",0,1,0,9
"Vasc.Endo",1,37,0,1
"Vasc.VLMC",3,1,1,0
"Excit.L2",0,0,0,0
"Excit.L2_5.1",0,0,0,0
"Excit.L2_5.2",0,0,2,0
"Excit.L5.1",0,1,1,0
"Excit.L5.2",0,0,0,0
"Excit.L6_CT",3,0,0,0
"Excit.L6b",0,0,0,0
"Inhib.Chandelier",0,0,0,8
"Inhib.Lamp5_Lhx6",0,0,0,0
"Inhib.Pvalb",0,0,0,0
"Inhib.Sst",0,0,0,1
"Inhib.Vip",0,0,1,4
