"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Astro-1_up","Astro-1_up","GO:0045211","postsynaptic membrane","2/4","309/15125",0.00647249190938511,24.4741100323625,6.78072239082678,0.00242925456464271,0.0178681568623028,0.00752343446833801,"PLPPR4/GABBR2",2,"CC"
"Astro-1_up","Astro-1_up","GO:0097648","G protein-coupled receptor complex","1/4","11/15125",0.0909090909090909,343.75,18.4951207223614,0.00290620681405374,0.0178681568623028,0.00752343446833801,"GABBR2",1,"CC"
"Astro-1_up","Astro-1_up","GO:1902710","GABA receptor complex","1/4","18/15125",0.0555555555555556,210.069444444444,14.4348001836655,0.00475231002625132,0.0178681568623028,0.00752343446833801,"GABBR2",1,"CC"
"Astro-1_up","Astro-1_up","GO:0097060","synaptic membrane","2/4","435/15125",0.00459770114942529,17.3850574712644,5.63968403155979,0.00476484182994741,0.0178681568623028,0.00752343446833801,"PLPPR4/GABBR2",2,"CC"
"Astro-3_down","Astro-3_down","GO:0043209","myelin sheath","3/14","44/15125",0.0681818181818182,73.6607142857143,14.6913491616674,8.17620237701567e-06,0.000335224297457642,0.000249589335719426,"PLP1/PLLP/MBP",3,"CC"
"Astro-3_down","Astro-3_down","GO:0043218","compact myelin","2/14","14/15125",0.142857142857143,154.336734693878,17.470863684273,7.19437999717602e-05,0.00147484789942108,0.00109808957851634,"PLLP/MBP",2,"CC"
"Astro-3_up","Astro-3_up","GO:0097060","synaptic membrane","3/5","435/15125",0.00689655172413793,20.8620689655172,7.643647613206,0.000226291289461662,0.00384695192084825,0.00190561085862452,"CNTN5/GABBR2/CHRM3",3,"CC"
"Astro-3_up","Astro-3_up","GO:0098802","plasma membrane signaling receptor complex","2/5","166/15125",0.0120481927710843,36.4457831325301,8.35044807593401,0.00117161414059146,0.00995872019502743,0.00493311217091142,"GABBR2/IL6ST",2,"CC"
"Astro-3_up","Astro-3_up","GO:0097648","G protein-coupled receptor complex","1/5","11/15125",0.0909090909090909,275,16.5310194699215,0.00363155776472124,0.0168216426553589,0.00833270224414063,"GABBR2",1,"CC"
"Astro-3_up","Astro-3_up","GO:0045211","postsynaptic membrane","2/5","309/15125",0.00647249190938511,19.57928802589,6.00046992582213,0.00399414667656777,0.0168216426553589,0.00833270224414063,"GABBR2/CHRM3",2,"CC"
"Astro-3_up","Astro-3_up","GO:0043235","receptor complex","2/5","358/15125",0.00558659217877095,16.8994413407821,5.53630084168186,0.00532869209239019,0.0168216426553589,0.00833270224414063,"GABBR2/IL6ST",2,"CC"
"Astro-3_up","Astro-3_up","GO:1902710","GABA receptor complex","1/5","18/15125",0.0555555555555556,168.055555555556,12.895865706398,0.0059370503489502,0.0168216426553589,0.00833270224414063,"GABBR2",1,"CC"
"Astro-3_up","Astro-3_up","GO:0043025","neuronal cell body","2/5","473/15125",0.00422832980972516,12.7906976744186,4.73766185301581,0.00916592705789943,0.0222601085691843,0.0110266791673978,"PCSK2/IL6ST",2,"CC"
"Excit-L2_5-1_down","Excit-L2_5-1_down","GO:0043197","dendritic spine","2/5","175/15125",0.0114285714285714,34.5714285714286,8.12289222822814,0.00130094831497776,0.00798351953950807,0.00560246985228636,"LPAR1/DIP2A",2,"CC"
"Excit-L2_5-1_down","Excit-L2_5-1_down","GO:0044309","neuron spine","2/5","177/15125",0.0112994350282486,34.180790960452,8.07466036198303,0.00133058658991801,0.00798351953950807,0.00560246985228636,"LPAR1/DIP2A",2,"CC"
"Excit-L2_5-2_up","Excit-L2_5-2_up","GO:0032281","AMPA glutamate receptor complex","1/1","27/15125",0.037037037037037,560.185185185185,23.6470967601772,0.00178512396694186,0.0075812672176309,NA,"VWC2L",1,"CC"
"Excit-L2_5-2_up","Excit-L2_5-2_up","GO:0008328","ionotropic glutamate receptor complex","1/1","40/15125",0.025,378.125,19.4197064859385,0.00264462809917343,0.0075812672176309,NA,"VWC2L",1,"CC"
"Excit-L2_5-2_up","Excit-L2_5-2_up","GO:0098878","neurotransmitter receptor complex","1/1","43/15125",0.0232558139534884,351.744186046512,18.7281655814581,0.00284297520661159,0.0075812672176309,NA,"VWC2L",1,"CC"
