"","cluster","contrast","n_genes","n_FDR05","nUP","nDown"
"1","Vasc~Sp09D08","carrier_AA",9014,0,0,0
"2","Vasc~Sp09D08","carrier_EA",9014,0,0,0
"3","L1~Sp09D05","carrier_AA",11594,0,0,0
"4","L1~Sp09D05","carrier_EA",11594,0,0,0
"5","L2.3~Sp09D01","carrier_AA",14006,0,0,0
"6","L2.3~Sp09D01","carrier_EA",14006,0,0,0
"7","LD~Sp09D02","carrier_AA",15053,0,0,0
"8","LD~Sp09D02","carrier_EA",15053,0,0,0
"9","Inhib~Sp09D09","carrier_AA",12207,0,0,0
"10","Inhib~Sp09D09","carrier_EA",12207,0,0,0
"11","L5~Sp09D03","carrier_AA",14322,0,0,0
"12","L5~Sp09D03","carrier_EA",14322,0,0,0
"13","L6~Sp09D04","carrier_AA",13930,0,0,0
"14","L6~Sp09D04","carrier_EA",13930,0,0,0
"15","WM.uf~Sp09D07","carrier_AA",3172,15,7,8
"16","WM.uf~Sp09D07","carrier_EA",3172,1,0,1
"17","WM~Sp09D06","carrier_AA",9409,0,0,0
"18","WM~Sp09D06","carrier_EA",9409,1,0,1
