"","cluster","contrast","n_FDR05","nUP","nDown"
"1","Astro.1","carrier_F",0,0,0
"2","Astro.1","carrier_M",0,0,0
"3","Astro.2","carrier_F",0,0,0
"4","Astro.2","carrier_M",0,0,0
"5","Astro.3","carrier_F",0,0,0
"6","Astro.3","carrier_M",35,3,32
"7","Astro.4","carrier_F",5,5,0
"8","Astro.4","carrier_M",0,0,0
"9","Astro.5","carrier_F",0,0,0
"10","Astro.5","carrier_M",0,0,0
"11","Macro","carrier_F",1,1,0
"12","Macro","carrier_M",13,8,5
"13","Micro.1","carrier_F",0,0,0
"14","Micro.1","carrier_M",1,0,1
"15","Micro.2","carrier_F",0,0,0
"16","Micro.2","carrier_M",0,0,0
"17","Micro.3","carrier_F",0,0,0
"18","Micro.3","carrier_M",1,1,0
"19","Micro.4","carrier_F",1,1,0
"20","Micro.4","carrier_M",2,1,1
"21","Micro.5","carrier_F",0,0,0
"22","Micro.5","carrier_M",0,0,0
"23","OPC.1","carrier_F",0,0,0
"24","OPC.1","carrier_M",0,0,0
"25","OPC.2","carrier_F",0,0,0
"26","OPC.2","carrier_M",0,0,0
"27","OPC.3","carrier_F",1,1,0
"28","OPC.3","carrier_M",0,0,0
"29","OPC.4","carrier_F",0,0,0
"30","OPC.4","carrier_M",0,0,0
"31","OPC.5","carrier_F",3,2,1
"32","OPC.5","carrier_M",0,0,0
"33","Oligo.1","carrier_F",1,1,0
"34","Oligo.1","carrier_M",0,0,0
"35","Oligo.2","carrier_F",1,1,0
"36","Oligo.2","carrier_M",2,1,1
"37","Oligo.3","carrier_F",0,0,0
"38","Oligo.3","carrier_M",1830,1163,667
"39","Oligo.4","carrier_F",0,0,0
"40","Oligo.4","carrier_M",2,0,2
"41","Oligo.5","carrier_F",0,0,0
"42","Oligo.5","carrier_M",121,100,21
"43","Vasc.Endo","carrier_F",0,0,0
"44","Vasc.Endo","carrier_M",109,62,47
"45","Vasc.VLMC","carrier_F",0,0,0
"46","Vasc.VLMC","carrier_M",50,30,20
"47","Excit.L2","carrier_F",0,0,0
"48","Excit.L2","carrier_M",0,0,0
"49","Excit.L2_5.1","carrier_F",0,0,0
"50","Excit.L2_5.1","carrier_M",88,29,59
"51","Excit.L2_5.2","carrier_F",0,0,0
"52","Excit.L2_5.2","carrier_M",4,1,3
"53","Excit.L5.1","carrier_F",0,0,0
"54","Excit.L5.1","carrier_M",14,14,0
"55","Excit.L5.2","carrier_F",0,0,0
"56","Excit.L5.2","carrier_M",15,12,3
"57","Excit.L6_CT","carrier_F",0,0,0
"58","Excit.L6_CT","carrier_M",0,0,0
"59","Excit.L6b","carrier_F",0,0,0
"60","Excit.L6b","carrier_M",0,0,0
"61","Inhib.Lamp5_Lhx6","carrier_F",0,0,0
"62","Inhib.Lamp5_Lhx6","carrier_M",0,0,0
"63","Inhib.Pvalb","carrier_F",0,0,0
"64","Inhib.Pvalb","carrier_M",3,1,2
"65","Inhib.Vip","carrier_F",0,0,0
"66","Inhib.Vip","carrier_M",1,0,1
"67","Inhib.Chandelier","carrier_F",0,0,0
"68","Inhib.Chandelier","carrier_M",0,0,0
"69","Inhib.Sst","carrier_F",0,0,0
"70","Inhib.Sst","carrier_M",0,0,0
