OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
10.300692597784108,0.09677292599234022,1,30,Astro_up,0.05,62,Ast_down,KCNIP4,Mathys_reg
0,1,0,36,Astro_up,0.05,62,Ast_up,,Mathys_reg
0.5751430631472951,0.8249990951068362,1,507,Astro_up,0.05,62,Ex_down,ICA1,Mathys_reg
3.6773256782652406,0.10859941671459379,2,166,Astro_up,0.05,62,Ex_up,"SNPH,LINGO1",Mathys_reg
14.449017727881431,0.009729793493460677,2,44,Astro_up,0.05,62,In_down,"ICA1,KCNH5",Mathys_reg
0,1,0,2,Astro_up,0.05,62,In_up,,Mathys_reg
0,1,0,12,Astro_up,0.05,62,Mic_down,,Mathys_reg
0,1,0,19,Astro_up,0.05,62,Mic_up,,Mathys_reg
0,1,0,67,Astro_up,0.05,62,Oli_down,,Mathys_reg
3.2015895321582253,0.27346946796545935,1,94,Astro_up,0.05,62,Oli_up,LINGO1,Mathys_reg
0,1,0,18,Astro_up,0.05,62,Opc_down,,Mathys_reg
0,1,0,9,Astro_up,0.05,62,Opc_up,,Mathys_reg
0,1,0,30,Astro_down,0.05,13,Ast_down,,Mathys_reg
0,1,0,36,Astro_down,0.05,13,Ast_up,,Mathys_reg
0,1,0,507,Astro_down,0.05,13,Ex_down,,Mathys_reg
0,1,0,166,Astro_down,0.05,13,Ex_up,,Mathys_reg
0,1,0,44,Astro_down,0.05,13,In_down,,Mathys_reg
0,1,0,2,Astro_down,0.05,13,In_up,,Mathys_reg
0,1,0,12,Astro_down,0.05,13,Mic_down,,Mathys_reg
0,1,0,19,Astro_down,0.05,13,Mic_up,,Mathys_reg
0,1,0,67,Astro_down,0.05,13,Oli_down,,Mathys_reg
0,1,0,94,Astro_down,0.05,13,Oli_up,,Mathys_reg
0,1,0,18,Astro_down,0.05,13,Opc_down,,Mathys_reg
0,1,0,9,Astro_down,0.05,13,Opc_up,,Mathys_reg
0,1,0,12,Macro_up,0.05,10,Ast_down,,Mathys_reg
0,1,0,8,Macro_up,0.05,10,Ast_up,,Mathys_reg
4.5869059453478345,0.21502306564561002,1,70,Macro_up,0.05,10,Ex_down,ATP1B3,Mathys_reg
0,1,0,16,Macro_up,0.05,10,Ex_up,,Mathys_reg
0,1,0,10,Macro_up,0.05,10,In_down,,Mathys_reg
0,1,0,0,Macro_up,0.05,10,In_up,,Mathys_reg
29.160728448401475,0.040256245168096116,1,12,Macro_up,0.05,10,Mic_down,TNFRSF1B,Mathys_reg
0,1,0,13,Macro_up,0.05,10,Mic_up,,Mathys_reg
0,1,0,13,Macro_up,0.05,10,Oli_down,,Mathys_reg
0,1,0,29,Macro_up,0.05,10,Oli_up,,Mathys_reg
0,1,0,5,Macro_up,0.05,10,Opc_down,,Mathys_reg
0,1,0,4,Macro_up,0.05,10,Opc_up,,Mathys_reg
0,1,0,12,Macro_down,0.05,5,Ast_down,,Mathys_reg
0,1,0,8,Macro_down,0.05,5,Ast_up,,Mathys_reg
0,1,0,70,Macro_down,0.05,5,Ex_down,,Mathys_reg
0,1,0,16,Macro_down,0.05,5,Ex_up,,Mathys_reg
0,1,0,10,Macro_down,0.05,5,In_down,,Mathys_reg
0,1,0,0,Macro_down,0.05,5,In_up,,Mathys_reg
0,1,0,12,Macro_down,0.05,5,Mic_down,,Mathys_reg
0,1,0,13,Macro_down,0.05,5,Mic_up,,Mathys_reg
0,1,0,13,Macro_down,0.05,5,Oli_down,,Mathys_reg
0,1,0,29,Macro_down,0.05,5,Oli_up,,Mathys_reg
0,1,0,5,Macro_down,0.05,5,Opc_down,,Mathys_reg
0,1,0,4,Macro_down,0.05,5,Opc_up,,Mathys_reg
0,1,0,26,Micro_up,0.05,0,Ast_down,,Mathys_reg
