donor,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
Br1039,0.0013012410764942097,-2.8321713778716427e-4,-0.0027293348048832143,-5.878699832068735e-4,0.00203975413626814,-3.1727020511880527e-4,-0.005742516494743994
Br1556,2.733246397513561e-4,0.0010075829234486983,1.1949905246220133e-4,-0.001758428889736715,-4.394339282579511e-4,0.0012967685919817494,-0.0021880095063837564
Br1706,1.6259651081745784e-4,-9.505804522590259e-4,4.810365979942093e-4,6.84469737963688e-4,0.0010515591828425491,-0.0010682138169609513,0.005588323728479489
Br2582,3.442110013680765e-4,-0.0014993855416143326,-0.0015929088039293323,0.0019044367078633131,0.0012187757198487677,-6.578724826475713e-4,0.010190866588582979
Br5161,-0.0014543480879558495,3.176092913530368e-4,0.0018570175838335892,-4.0415902590348527e-4,0.0011948009572994994,2.053952868055067e-4,0.0037577435867430357
Br5367,1.8415490112833448e-4,7.844321764821975e-5,-0.0010072615887512712,-6.746332179298726e-4,-0.0015418560108801718,0.0011723035913583804,0.0028772322927196124
Br5415,3.393476155502112e-4,1.4681844949774822e-4,-0.003567483711927664,-8.087575226024304e-4,1.6594096577443989e-4,-1.7984571819076327e-4,-0.003968140858656666
Br5426,-6.182965390331836e-4,-1.5675019077819615e-4,0.0027401262236153435,-5.765551084736494e-4,-5.123416691765934e-4,8.300910405631346e-4,2.3501635329310842e-4
Br5460,-7.108095767435721e-4,6.934102970534428e-4,0.0037459671697192987,4.2056791439291355e-4,2.899030458444166e-4,-6.250776098273972e-5,-0.0063610017189006315
Br5517,0.0011711403062354081,-0.002691612259017183,-0.0029940280155691143,-6.735806278208581e-4,9.8839098764771e-6,5.812717912751011e-4,5.10641224482974e-5
Br5599,-6.779856132710637e-4,0.0013963488669082676,0.0051150995536175005,0.005387063396505567,4.4499488436494704e-4,0.0025818880265369394,-0.00804227464922417
Br5634,-5.224771565630504e-4,0.004340806384000779,0.001024024167337913,-3.8964536568806207e-4,-4.7394510160992596e-4,-0.0018760730377169626,-0.009992629338139072
Br5854,1.996552638473482e-5,0.0017829571023761414,-0.0016011065793018107,-0.00012138035425490948,0.001001587966813564,-0.0029039634033531333,-0.004737014153541827
Br5941,-0.001136129985977907,-2.0898690930507975e-4,8.987310558783472e-4,-0.0012815086911647227,-8.690625579262279e-4,-1.1211117338411507e-4,0.006013499367039336
Br6098,0.0011207088304192722,4.088043372740702e-4,0.0025008187525497982,-8.903356104251294e-4,7.453076809769248e-4,0.0016013750233194526,8.611774107383195e-4
Br6538,2.033565513955756e-4,-0.004382248378799438,-0.004990196652645796,-2.2968335951879218e-4,-0.004325869182058857,-0.001091235753485219,0.011456663269545942
