gene,class,source,note
GPM6A,"OPC, Oliog.NF",ERC data driven,
RBFOX1,"OPC, Oligo.L",,
SOX10,"OPC, Oligo.L",,
CSPG4,OPC,,
OLIG2,OPC,,
PDGFRA,OPC,,
LINGO2,Oligo.NF,,ERC data driven
OMG,Oligo.M,,
OPALIN,Oligo.M,,
RASGRF1,Oligo.L,,
CNP,Oligo,,
MBP,Oligo,,
MOG,Oligo,,
PLP1,Oligo,,
TOP2A,OPC,,
BMP,COP,,Macnair2025
GRP17,COP,,Macnair2025
BCAS1,COP,,Macnair2025
PROM1,Oligo.NF,,Macnair2025
RRAS2,Oligo.NF,,Macnair2025
SLC9A3R2,Oligo.M,,Macnair2025
THBS3,Oligo.M,,Macnair2025
HPOX,Oligo.M,,Macnair2025
KLK6,Oligo.M,,Macnair2025
PTGDS,Oligo.M,,Macnair2025
FOS,Oligo.M,,Macnair2025
