BrNum,perm,neighbor,Z,scale,reference,id
Br5415,1,Astro.1,-7.067170413915455,100,Astro.1,NA
Br5415,2,Astro.1,-10.5730026852385,100,Astro.1,NA
Br5415,3,Astro.1,-11.21308601758706,100,Astro.1,NA
Br5415,1,Astro.2,0.9266951162661884,100,Astro.1,NA
Br5415,2,Astro.2,1.4903098703200035,100,Astro.1,NA
Br5415,3,Astro.2,1.8883117206797704,100,Astro.1,NA
Br5415,1,Astro.3,0.47017891710015575,100,Astro.1,NA
Br5415,2,Astro.3,0.47017891710015575,100,Astro.1,NA
Br5415,3,Astro.3,-0.047567750577339855,100,Astro.1,NA
Br5415,1,Astro.4,0.04118385260693382,100,Astro.1,NA
Br5415,2,Astro.4,0.9160351291204308,100,Astro.1,NA
Br5415,3,Astro.4,0.5972432659994662,100,Astro.1,NA
Br5415,1,Astro.5,2.202346491243752,100,Astro.1,NA
Br5415,2,Astro.5,1.2976682351268969,100,Astro.1,NA
Br5415,3,Astro.5,1.5321517715158794,100,Astro.1,NA
Br5415,1,Macro,-7.348769603289731,100,Astro.1,NA
Br5415,2,Macro,-6.741863787470134,100,Astro.1,NA
Br5415,3,Macro,-6.867337728443746,100,Astro.1,NA
Br5415,1,Micro.1,-2.42313060516846,100,Astro.1,NA
Br5415,2,Micro.1,-2.896969579744905,100,Astro.1,NA
Br5415,3,Micro.1,-2.896969579744905,100,Astro.1,NA
Br5415,1,Micro.2,5.087218737615495,100,Astro.1,NA
Br5415,2,Micro.2,4.607426798560961,100,Astro.1,NA
Br5415,3,Micro.2,5.017820521920377,100,Astro.1,NA
Br5415,1,Micro.3,-3.07836393800613,100,Astro.1,NA
Br5415,2,Micro.3,-2.3365805658361154,100,Astro.1,NA
Br5415,3,Micro.3,-1.9862543092338059,100,Astro.1,NA
Br5415,1,Micro.4,-6.277274937935425,100,Astro.1,NA
Br5415,2,Micro.4,-6.476849858292921,100,Astro.1,NA
Br5415,3,Micro.4,-5.410294387660943,100,Astro.1,NA
Br5415,1,Micro.5,9.365150440404793,100,Astro.1,NA
Br5415,2,Micro.5,8.806540787010888,100,Astro.1,NA
Br5415,3,Micro.5,8.898235325837815,100,Astro.1,NA
Br5415,1,OPC.1,-6.501047304510422,100,Astro.1,NA
Br5415,2,OPC.1,-6.368555800608679,100,Astro.1,NA
Br5415,3,OPC.1,-6.0250371520259085,100,Astro.1,NA
Br5415,1,OPC.2,8.87021587522242,100,Astro.1,NA
Br5415,2,OPC.2,8.592391703210382,100,Astro.1,NA
Br5415,3,OPC.2,8.45593982039045,100,Astro.1,NA
Br5415,1,OPC.3,-5.0266698973937904,100,Astro.1,NA
Br5415,2,OPC.3,-5.192451644371099,100,Astro.1,NA
Br5415,3,OPC.3,-4.202231086854562,100,Astro.1,NA
Br5415,1,OPC.4,3.2069932841878357,100,Astro.1,NA
Br5415,2,OPC.4,3.2069932841878357,100,Astro.1,NA
Br5415,3,OPC.4,2.9945047053917766,100,Astro.1,NA
Br5415,1,OPC.5,5.558153604587076,100,Astro.1,NA
Br5415,2,OPC.5,5.181053661211204,100,Astro.1,NA
Br5415,3,OPC.5,5.181053661211204,100,Astro.1,NA
Br5415,1,Oligo.1,6.644704891670403,100,Astro.1,NA
Br5415,2,Oligo.1,6.895893638982528,100,Astro.1,NA
Br5415,3,Oligo.1,7.02363465875598,100,Astro.1,NA
Br5415,1,Oligo.2,-1.0916981652199391,100,Astro.1,NA
Br5415,2,Oligo.2,-1.6875263654183592,100,Astro.1,NA
Br5415,3,Oligo.2,-0.8594337309727526,100,Astro.1,NA
Br5415,1,Oligo.3,15.424976628474589,100,Astro.1,NA
Br5415,2,Oligo.3,15.527271810674208,100,Astro.1,NA
Br5415,3,Oligo.3,15.63015829237072,100,Astro.1,NA
Br5415,1,Oligo.4,17.929882999861995,100,Astro.1,NA
Br5415,2,Oligo.4,17.929882999861995,100,Astro.1,NA
Br5415,3,Oligo.4,17.929882999861995,100,Astro.1,NA
Br5415,1,Oligo.5,-8.389518552465397,100,Astro.1,NA
Br5415,2,Oligo.5,-8.013835250003677,100,Astro.1,NA
Br5415,3,Oligo.5,-7.869897362015629,100,Astro.1,NA
Br5415,1,Vasc.Endo,15.586892152802156,100,Astro.1,NA
Br5415,2,Vasc.Endo,15.312331085047413,100,Astro.1,NA
Br5415,3,Vasc.Endo,15.679301484474621,100,Astro.1,NA
Br5415,1,Vasc.PC,8.503203244488907,100,Astro.1,NA
Br5415,2,Vasc.PC,8.679939338668328,100,Astro.1,NA
Br5415,3,Vasc.PC,8.503203244488907,100,Astro.1,NA
Br5415,1,Vasc.VLMC,-11.220504615385101,100,Astro.1,NA
Br5415,2,Vasc.VLMC,-11.181079539594249,100,Astro.1,NA
Br5415,3,Vasc.VLMC,-10.901569221845708,100,Astro.1,NA
Br5415,1,Excit.L2,-1.714679469036153,100,Astro.1,NA
Br5415,2,Excit.L2,-1.5680207750937574,100,Astro.1,NA
Br5415,3,Excit.L2,-2.5554777979503016,100,Astro.1,NA
Br5415,1,Excit.L2_5.1,-6.215727232388801,100,Astro.1,NA
Br5415,2,Excit.L2_5.1,-6.5377328891452535,100,Astro.1,NA
Br5415,3,Excit.L2_5.1,-5.525179545641345,100,Astro.1,NA
