BrNum,region,perm,neighbor,Z,scale,reference,id
Br5517,GM,1,Astro.1,-7.28163329167307,25,Astro.1,NA
Br5517,GM,2,Astro.1,-7.3300510189818056,25,Astro.1,NA
Br5517,GM,3,Astro.1,-7.3300510189818056,25,Astro.1,NA
Br5517,GM,1,Astro.2,0.8067755387437696,25,Astro.1,NA
Br5517,GM,2,Astro.2,0.9098697773590522,25,Astro.1,NA
Br5517,GM,3,Astro.2,0.9098697773590522,25,Astro.1,NA
Br5517,GM,1,Astro.4,NA,25,Astro.1,NA
Br5517,GM,2,Astro.4,NA,25,Astro.1,NA
Br5517,GM,3,Astro.4,NA,25,Astro.1,NA
Br5517,GM,1,Astro.5,1.0115456729551466,25,Astro.1,NA
Br5517,GM,2,Astro.5,1.0115456729551466,25,Astro.1,NA
Br5517,GM,3,Astro.5,1.0991419666398299,25,Astro.1,NA
Br5517,GM,1,Macro,-9.951865748949139,25,Astro.1,NA
Br5517,GM,2,Macro,-9.757106173088017,25,Astro.1,NA
Br5517,GM,3,Macro,-9.854834176559304,25,Astro.1,NA
Br5517,GM,1,Micro.2,-3.786040100264404,25,Astro.1,NA
Br5517,GM,2,Micro.2,-3.8838486653861715,25,Astro.1,NA
Br5517,GM,3,Micro.2,-3.8838486653861715,25,Astro.1,NA
Br5517,GM,1,Micro.5,2.9484489313253506,25,Astro.1,NA
Br5517,GM,2,Micro.5,2.9484489313253506,25,Astro.1,NA
Br5517,GM,3,Micro.5,2.9484489313253506,25,Astro.1,NA
Br5517,GM,1,OPC.1,NA,25,Astro.1,NA
Br5517,GM,2,OPC.1,NA,25,Astro.1,NA
Br5517,GM,3,OPC.1,NA,25,Astro.1,NA
Br5517,GM,1,OPC.2,2.7770079618033234,25,Astro.1,NA
Br5517,GM,2,OPC.2,2.7770079618033234,25,Astro.1,NA
Br5517,GM,3,OPC.2,2.7770079618033234,25,Astro.1,NA
Br5517,GM,1,OPC.4,2.910078167193424,25,Astro.1,NA
Br5517,GM,2,OPC.4,2.910078167193424,25,Astro.1,NA
Br5517,GM,3,OPC.4,2.910078167193424,25,Astro.1,NA
Br5517,GM,1,OPC.5,3.4027884404550943,25,Astro.1,NA
Br5517,GM,2,OPC.5,3.080053147437467,25,Astro.1,NA
Br5517,GM,3,OPC.5,3.4027884404550943,25,Astro.1,NA
Br5517,GM,1,Oligo.1,-0.978926146884194,25,Astro.1,NA
Br5517,GM,2,Oligo.1,-0.978926146884194,25,Astro.1,NA
Br5517,GM,3,Oligo.1,-0.978926146884194,25,Astro.1,NA
Br5517,GM,1,Oligo.2,-1.9972139585744866,25,Astro.1,NA
Br5517,GM,2,Oligo.2,-1.9972139585744866,25,Astro.1,NA
Br5517,GM,3,Oligo.2,-1.9972139585744866,25,Astro.1,NA
Br5517,GM,1,Oligo.3,5.366006137336859,25,Astro.1,NA
Br5517,GM,2,Oligo.3,5.5559528190602805,25,Astro.1,NA
Br5517,GM,3,Oligo.3,5.366006137336859,25,Astro.1,NA
Br5517,GM,1,Oligo.4,1.6462898820543237,25,Astro.1,NA
Br5517,GM,2,Oligo.4,1.4474044272376247,25,Astro.1,NA
Br5517,GM,3,Oligo.4,1.6462898820543237,25,Astro.1,NA
Br5517,GM,1,Oligo.5,-2.4248473099923262,25,Astro.1,NA
Br5517,GM,2,Oligo.5,-2.4248473099923262,25,Astro.1,NA
Br5517,GM,3,Oligo.5,-2.4248473099923262,25,Astro.1,NA
Br5517,GM,1,Vasc.Endo,-1.6328223716162809,25,Astro.1,NA
Br5517,GM,2,Vasc.Endo,-1.4624688567282933,25,Astro.1,NA
Br5517,GM,3,Vasc.Endo,-1.548002321123559,25,Astro.1,NA
Br5517,GM,1,Vasc.PC,2.6303500008379666,25,Astro.1,NA
Br5517,GM,2,Vasc.PC,2.6303500008379666,25,Astro.1,NA
Br5517,GM,3,Vasc.PC,2.6303500008379666,25,Astro.1,NA
Br5517,GM,1,Vasc.VLMC,-2.4161041595982353,25,Astro.1,NA
Br5517,GM,2,Vasc.VLMC,-2.4161041595982353,25,Astro.1,NA
Br5517,GM,3,Vasc.VLMC,-2.4161041595982353,25,Astro.1,NA
Br5517,GM,1,Excit.L2,8.583098746996418,25,Astro.1,NA
Br5517,GM,2,Excit.L2,8.583098746996418,25,Astro.1,NA
Br5517,GM,3,Excit.L2,8.583098746996418,25,Astro.1,NA
Br5517,GM,1,Excit.L2_5.1,5.9626131872812165,25,Astro.1,NA
Br5517,GM,2,Excit.L2_5.1,5.9626131872812165,25,Astro.1,NA
Br5517,GM,3,Excit.L2_5.1,5.9626131872812165,25,Astro.1,NA
Br5517,GM,1,Excit.L2_5.2,2.4946905226063274,25,Astro.1,NA
Br5517,GM,2,Excit.L2_5.2,2.2272558442335866,25,Astro.1,NA
Br5517,GM,3,Excit.L2_5.2,2.4946905226063274,25,Astro.1,NA
Br5517,GM,1,Excit.L5.1,-5.685475258059904,25,Astro.1,NA
Br5517,GM,2,Excit.L5.1,-5.7616608561477864,25,Astro.1,NA
Br5517,GM,3,Excit.L5.1,-5.7616608561477864,25,Astro.1,NA
Br5517,GM,1,Excit.L5.2,2.0167719863192346,25,Astro.1,NA
Br5517,GM,2,Excit.L5.2,1.8550559277719878,25,Astro.1,NA
Br5517,GM,3,Excit.L5.2,1.8550559277719878,25,Astro.1,NA
Br5517,GM,1,Excit.L6_CT,-0.9114703461162124,25,Astro.1,NA
Br5517,GM,2,Excit.L6_CT,NA,25,Astro.1,NA
Br5517,GM,3,Excit.L6_CT,-0.9114703461162124,25,Astro.1,NA
Br5517,GM,1,Excit.L6b,1.55304369388032,25,Astro.1,NA
Br5517,GM,2,Excit.L6b,1.55304369388032,25,Astro.1,NA
Br5517,GM,3,Excit.L6b,1.55304369388032,25,Astro.1,NA
Br5517,GM,1,Inhib.Chandelier,-4.349756498131308,25,Astro.1,NA
Br5517,GM,2,Inhib.Chandelier,-4.4387725474361055,25,Astro.1,NA
Br5517,GM,3,Inhib.Chandelier,-4.4387725474361055,25,Astro.1,NA
Br5517,GM,1,Inhib.Lamp5_Lhx6,2.112436204015921,25,Astro.1,NA
Br5517,GM,2,Inhib.Lamp5_Lhx6,1.8867286236977299,25,Astro.1,NA
Br5517,GM,3,Inhib.Lamp5_Lhx6,2.348567726049008,25,Astro.1,NA
Br5517,GM,1,Inhib.Pax6,-0.6734402795918154,25,Astro.1,NA
Br5517,GM,2,Inhib.Pax6,-0.6734402795918154,25,Astro.1,NA
Br5517,GM,3,Inhib.Pax6,-1.0266831825196672,25,Astro.1,NA
Br5517,GM,1,Inhib.Pvalb,-3.5655513498223605,25,Astro.1,NA
Br5517,GM,2,Inhib.Pvalb,-3.469469595527841,25,Astro.1,NA
Br5517,GM,3,Inhib.Pvalb,-3.469469595527841,25,Astro.1,NA
Br5517,GM,1,Inhib.Sst,0.8736045624165357,25,Astro.1,NA
Br5517,GM,2,Inhib.Sst,0.6402717263436808,25,Astro.1,NA
Br5517,GM,3,Inhib.Sst,0.8736045624165357,25,Astro.1,NA
Br5517,GM,1,Inhib.Vip,9.035329987354203,25,Astro.1,NA
Br5517,GM,2,Inhib.Vip,9.035329987354203,25,Astro.1,NA
Br5517,GM,3,Inhib.Vip,9.035329987354203,25,Astro.1,NA
Br5517,GM,1,Astro.1,-7.233131087077867,50,Astro.1,NA
Br5517,GM,2,Astro.1,-7.135870227131649,50,Astro.1,NA
Br5517,GM,3,Astro.1,-7.3300510189818056,50,Astro.1,NA
Br5517,GM,1,Astro.2,0.9098697773590522,50,Astro.1,NA
Br5517,GM,2,Astro.2,0.8067755387437696,50,Astro.1,NA
Br5517,GM,3,Astro.2,0.8067755387437696,50,Astro.1,NA
Br5517,GM,1,Astro.4,NA,50,Astro.1,NA
Br5517,GM,2,Astro.4,NA,50,Astro.1,NA
Br5517,GM,3,Astro.4,NA,50,Astro.1,NA
Br5517,GM,1,Astro.5,1.1873846481787556,50,Astro.1,NA
Br5517,GM,2,Astro.5,0.3326983324397098,50,Astro.1,NA
Br5517,GM,3,Astro.5,1.2762857599808402,50,Astro.1,NA
Br5517,GM,1,Macro,-9.854834176559304,50,Astro.1,NA
Br5517,GM,2,Macro,-9.55947111592559,50,Astro.1,NA
Br5517,GM,3,Macro,-9.757106173088017,50,Astro.1,NA
Br5517,GM,1,Micro.2,-3.9800191991189044,50,Astro.1,NA
Br5517,GM,2,Micro.2,-4.259432468234885,50,Astro.1,NA
Br5517,GM,3,Micro.2,-4.074627246758869,50,Astro.1,NA
Br5517,GM,1,Micro.5,3.305909505584085,50,Astro.1,NA
Br5517,GM,2,Micro.5,3.124875373547027,50,Astro.1,NA
Br5517,GM,3,Micro.5,2.9484489313253506,50,Astro.1,NA
Br5517,GM,1,OPC.1,NA,50,Astro.1,NA
Br5517,GM,2,OPC.1,-0.9114703461162124,50,Astro.1,NA
Br5517,GM,3,OPC.1,NA,50,Astro.1,NA
Br5517,GM,1,OPC.2,2.9104823054851203,50,Astro.1,NA
Br5517,GM,2,OPC.2,3.0460526747139203,50,Astro.1,NA
Br5517,GM,3,OPC.2,2.516065429166581,50,Astro.1,NA
Br5517,GM,1,OPC.4,2.910078167193424,50,Astro.1,NA
Br5517,GM,2,OPC.4,2.910078167193424,50,Astro.1,NA
Br5517,GM,3,OPC.4,2.910078167193424,50,Astro.1,NA
Br5517,GM,1,OPC.5,3.4027884404550943,50,Astro.1,NA
Br5517,GM,2,OPC.5,3.080053147437467,50,Astro.1,NA
Br5517,GM,3,OPC.5,3.4027884404550943,50,Astro.1,NA
Br5517,GM,1,Oligo.1,-0.7269577389978983,50,Astro.1,NA
Br5517,GM,2,Oligo.1,-0.7269577389978983,50,Astro.1,NA
Br5517,GM,3,Oligo.1,-0.978926146884194,50,Astro.1,NA
Br5517,GM,1,Oligo.2,-1.8408369365592572,50,Astro.1,NA
Br5517,GM,2,Oligo.2,-1.9972139585744866,50,Astro.1,NA
Br5517,GM,3,Oligo.2,-1.9972139585744866,50,Astro.1,NA
Br5517,GM,1,Oligo.3,5.180468341428889,50,Astro.1,NA
Br5517,GM,2,Oligo.3,5.366006137336859,50,Astro.1,NA
Br5517,GM,3,Oligo.3,5.5559528190602805,50,Astro.1,NA
Br5517,GM,1,Oligo.4,1.8528315815729945,50,Astro.1,NA
Br5517,GM,2,Oligo.4,1.0702811079917551,50,Astro.1,NA
Br5517,GM,3,Oligo.4,1.6462898820543237,50,Astro.1,NA
Br5517,GM,1,Oligo.5,-2.739472426307287,50,Astro.1,NA
Br5517,GM,2,Oligo.5,-2.88526823807441,50,Astro.1,NA
Br5517,GM,3,Oligo.5,-2.586389605039102,50,Astro.1,NA
Br5517,GM,1,Vasc.Endo,-1.1128764211069075,50,Astro.1,NA
Br5517,GM,2,Vasc.Endo,-0.8423617162009066,50,Astro.1,NA
Br5517,GM,3,Vasc.Endo,-1.548002321123559,50,Astro.1,NA
Br5517,GM,1,Vasc.PC,2.6303500008379666,50,Astro.1,NA
