"","Oligo.3_Astro_test","Oligo.3_Astro","dist_class","APOE_level","n","neighbor_cell_type"
"1","APOE_dist","APOE_high_nnA_far","far","high",14244,NA
"2","APOE_dist","APOE_high_nnA_near","near","high",13535,NA
"3","APOE_dist","APOE_low_nnA_far","far","low",12056,NA
"4","APOE_dist","APOE_low_nnA_near","near","low",12720,NA
"5","dist","nnA_far","far",NA,26300,NA
"6","dist","nnA_near","near",NA,26255,NA
"7","APOE","APOE_high",NA,"high",27779,NA
"8","APOE","APOE_low",NA,"low",24776,NA
"9","neighbor","nn_Astro.1",NA,NA,7432,"Astro.1"
"10","neighbor","nn_Astro.2",NA,NA,10852,"Astro.2"
"11","neighbor","nn_Astro.3",NA,NA,909,"Astro.3"
"12","neighbor","nn_Astro.4",NA,NA,7214,"Astro.4"
"13","neighbor","nn_Astro.5",NA,NA,26148,"Astro.5"
"14","neighbor_APOE","APOE_high_nn_Astro.1",NA,"high",3872,"Astro.1"
"15","neighbor_APOE","APOE_high_nn_Astro.2",NA,"high",5646,"Astro.2"
"16","neighbor_APOE","APOE_high_nn_Astro.3",NA,"high",477,"Astro.3"
"17","neighbor_APOE","APOE_high_nn_Astro.4",NA,"high",3926,"Astro.4"
"18","neighbor_APOE","APOE_high_nn_Astro.5",NA,"high",13858,"Astro.5"
"19","neighbor_APOE","APOE_low_nn_Astro.1",NA,"low",3560,"Astro.1"
"20","neighbor_APOE","APOE_low_nn_Astro.2",NA,"low",5206,"Astro.2"
"21","neighbor_APOE","APOE_low_nn_Astro.3",NA,"low",432,"Astro.3"
"22","neighbor_APOE","APOE_low_nn_Astro.4",NA,"low",3288,"Astro.4"
"23","neighbor_APOE","APOE_low_nn_Astro.5",NA,"low",12290,"Astro.5"
