"","Oligo.3_Astro","dist_class","APOE_level","reference_SpX","n","SpX_prop"
"1","nnA_far_APOE_high","far","high","Vasc~SpX3",429,0.291836734693878
"2","nnA_far_APOE_high","far","high","L1a~SpX6",265,0.0916320885200553
"3","nnA_far_APOE_high","far","high","L1b~SpX7",325,0.142169728783902
"4","nnA_far_APOE_high","far","high","L2.3~SpX4",202,0.268617021276596
"5","nnA_far_APOE_high","far","high","Inhib~SpX5",253,0.205024311183144
"6","nnA_far_APOE_high","far","high","L5~SpX1",2179,0.285508385744235
"7","nnA_far_APOE_high","far","high","L6~SpX9",2020,0.283389450056117
"8","nnA_far_APOE_high","far","high","WMtz~SpX8",3686,0.264286226428623
"9","nnA_far_APOE_high","far","high","WM~SpX2",4885,0.321085841987643
"10","nnA_far_APOE_low","far","low","Vasc~SpX3",483,0.328571428571429
"11","nnA_far_APOE_low","far","low","L1a~SpX6",381,0.131742738589212
"12","nnA_far_APOE_low","far","low","L1b~SpX7",384,0.167979002624672
"13","nnA_far_APOE_low","far","low","L2.3~SpX4",307,0.408244680851064
"14","nnA_far_APOE_low","far","low","Inhib~SpX5",315,0.255267423014587
"15","nnA_far_APOE_low","far","low","L5~SpX1",1997,0.26166142557652
"16","nnA_far_APOE_low","far","low","L6~SpX9",1651,0.23162177328844
"17","nnA_far_APOE_low","far","low","WMtz~SpX8",3161,0.226643722664372
"18","nnA_far_APOE_low","far","low","WM~SpX2",3377,0.221966609701591
"19","nnA_near_APOE_high","near","high","Vasc~SpX3",218,0.148299319727891
"20","nnA_near_APOE_high","near","high","L1a~SpX6",912,0.315352697095436
"21","nnA_near_APOE_high","near","high","L1b~SpX7",746,0.326334208223972
"22","nnA_near_APOE_high","near","high","L2.3~SpX4",99,0.131648936170213
"23","nnA_near_APOE_high","near","high","Inhib~SpX5",285,0.23095623987034
"24","nnA_near_APOE_high","near","high","L5~SpX1",1734,0.227201257861635
"25","nnA_near_APOE_high","near","high","L6~SpX9",1859,0.260802469135802
"26","nnA_near_APOE_high","near","high","WMtz~SpX8",3606,0.258550225855023
"27","nnA_near_APOE_high","near","high","WM~SpX2",4076,0.267911134481399
"28","nnA_near_APOE_low","near","low","Vasc~SpX3",340,0.231292517006803
"29","nnA_near_APOE_low","near","low","L1a~SpX6",1334,0.461272475795297
"30","nnA_near_APOE_low","near","low","L1b~SpX7",831,0.363517060367454
"31","nnA_near_APOE_low","near","low","L2.3~SpX4",144,0.191489361702128
"32","nnA_near_APOE_low","near","low","Inhib~SpX5",381,0.308752025931929
"33","nnA_near_APOE_low","near","low","L5~SpX1",1722,0.22562893081761
"34","nnA_near_APOE_low","near","low","L6~SpX9",1598,0.224186307519641
"35","nnA_near_APOE_low","near","low","WMtz~SpX8",3494,0.250519825051983
"36","nnA_near_APOE_low","near","low","WM~SpX2",2876,0.189036413829368
