metric,name,value,form,SpD
Min.,APOE_carrier,0,carrier,LD_Sp09D02
Min.,round,0,carrier,LD_Sp09D02
Min.,Sex,0,carrier,LD_Sp09D02
Min.,Visium_slide,0,carrier,LD_Sp09D02
Min.,Anc_Afr,7.561073369493792e-11,carrier,LD_Sp09D02
Min.,Age,2.2262123888391616e-12,carrier,LD_Sp09D02
Min.,Rin,8.21380396179862e-12,carrier,LD_Sp09D02
Min.,pseudo_expr_chrM_ratio,4.709526738716767e-9,carrier,LD_Sp09D02
Min.,Residuals,0.02162486799481803,carrier,LD_Sp09D02
1st Qu.,APOE_carrier,0,carrier,LD_Sp09D02
1st Qu.,round,0,carrier,LD_Sp09D02
1st Qu.,Sex,0,carrier,LD_Sp09D02
1st Qu.,Visium_slide,0,carrier,LD_Sp09D02
1st Qu.,Anc_Afr,0.004069203010132022,carrier,LD_Sp09D02
1st Qu.,Age,0.003663258119917292,carrier,LD_Sp09D02
1st Qu.,Rin,0.005138612975676362,carrier,LD_Sp09D02
1st Qu.,pseudo_expr_chrM_ratio,0.009997203103375069,carrier,LD_Sp09D02
1st Qu.,Residuals,0.5425488224611208,carrier,LD_Sp09D02
Median,APOE_carrier,0,carrier,LD_Sp09D02
Median,round,0,carrier,LD_Sp09D02
Median,Sex,0,carrier,LD_Sp09D02
Median,Visium_slide,6.842448544600058e-12,carrier,LD_Sp09D02
Median,Anc_Afr,0.01744901291996083,carrier,LD_Sp09D02
Median,Age,0.016091616100326632,carrier,LD_Sp09D02
Median,Rin,0.02049570909739957,carrier,LD_Sp09D02
Median,pseudo_expr_chrM_ratio,0.04653570675078508,carrier,LD_Sp09D02
Median,Residuals,0.7127494917920039,carrier,LD_Sp09D02
Mean,APOE_carrier,0.014467523569559451,carrier,LD_Sp09D02
Mean,round,0.013890295482972752,carrier,LD_Sp09D02
Mean,Sex,0.013743244379837885,carrier,LD_Sp09D02
Mean,Visium_slide,0.06649347748541146,carrier,LD_Sp09D02
Mean,Anc_Afr,0.03224507135782719,carrier,LD_Sp09D02
Mean,Age,0.03507922933174657,carrier,LD_Sp09D02
Mean,Rin,0.03830629088788336,carrier,LD_Sp09D02
Mean,pseudo_expr_chrM_ratio,0.10633814543591695,carrier,LD_Sp09D02
Mean,Residuals,0.6794367220688444,carrier,LD_Sp09D02
3rd Qu.,APOE_carrier,8.213915286143065e-4,carrier,LD_Sp09D02
3rd Qu.,round,2.543498412570184e-11,carrier,LD_Sp09D02
3rd Qu.,Sex,0,carrier,LD_Sp09D02
3rd Qu.,Visium_slide,0.10258034985575681,carrier,LD_Sp09D02
3rd Qu.,Anc_Afr,0.04532058582608505,carrier,LD_Sp09D02
3rd Qu.,Age,0.04623914999112794,carrier,LD_Sp09D02
3rd Qu.,Rin,0.05254429405257279,carrier,LD_Sp09D02
3rd Qu.,pseudo_expr_chrM_ratio,0.14830156506133785,carrier,LD_Sp09D02
3rd Qu.,Residuals,0.848225851015973,carrier,LD_Sp09D02
Max.,APOE_carrier,0.4015364113956453,carrier,LD_Sp09D02
Max.,round,0.4836069253846791,carrier,LD_Sp09D02
Max.,Sex,0.8744671843965747,carrier,LD_Sp09D02
Max.,Visium_slide,0.9148789067039564,carrier,LD_Sp09D02
Max.,Anc_Afr,0.6526292938322136,carrier,LD_Sp09D02
Max.,Age,0.47898069169044616,carrier,LD_Sp09D02
Max.,Rin,0.4519619152982354,carrier,LD_Sp09D02
Max.,pseudo_expr_chrM_ratio,0.9749459482424591,carrier,LD_Sp09D02
Max.,Residuals,0.9997482701933125,carrier,LD_Sp09D02
Min.,APOE,0,apoe,LD_Sp09D02
Min.,round,0,apoe,LD_Sp09D02
Min.,Sex,0,apoe,LD_Sp09D02
Min.,Visium_slide,0,apoe,LD_Sp09D02
Min.,Anc_Afr,3.713815916439779e-12,apoe,LD_Sp09D02
Min.,Age,1.0016871004307691e-10,apoe,LD_Sp09D02
Min.,Rin,8.21380396179862e-12,apoe,LD_Sp09D02
Min.,pseudo_expr_chrM_ratio,1.0901765074018363e-9,apoe,LD_Sp09D02
Min.,Residuals,0.02242808442142123,apoe,LD_Sp09D02
1st Qu.,APOE,0,apoe,LD_Sp09D02
1st Qu.,round,0,apoe,LD_Sp09D02
1st Qu.,Sex,0,apoe,LD_Sp09D02
1st Qu.,Visium_slide,4.921939387125595e-17,apoe,LD_Sp09D02
1st Qu.,Anc_Afr,0.004393604116637878,apoe,LD_Sp09D02
1st Qu.,Age,0.003930400218458317,apoe,LD_Sp09D02
1st Qu.,Rin,0.005234544479361347,apoe,LD_Sp09D02
1st Qu.,pseudo_expr_chrM_ratio,0.01020798745521534,apoe,LD_Sp09D02
1st Qu.,Residuals,0.600232672489135,apoe,LD_Sp09D02
Median,APOE,0,apoe,LD_Sp09D02
Median,round,0,apoe,LD_Sp09D02
Median,Sex,0,apoe,LD_Sp09D02
Median,Visium_slide,3.3567105484322036e-13,apoe,LD_Sp09D02
Median,Anc_Afr,0.018356943477173815,apoe,LD_Sp09D02
Median,Age,0.01658148175098302,apoe,LD_Sp09D02
Median,Rin,0.020437405132485494,apoe,LD_Sp09D02
Median,pseudo_expr_chrM_ratio,0.045271222387685314,apoe,LD_Sp09D02
Median,Residuals,0.7588870289393086,apoe,LD_Sp09D02
Mean,APOE,0.03129934685442915,apoe,LD_Sp09D02
Mean,round,0.018543618245587777,apoe,LD_Sp09D02
Mean,Sex,0.020259664908611943,apoe,LD_Sp09D02
Mean,Visium_slide,8.787617596706817e-5,apoe,LD_Sp09D02
Mean,Anc_Afr,0.03344680524697226,apoe,LD_Sp09D02
Mean,Age,0.036029181338092825,apoe,LD_Sp09D02
Mean,Rin,0.03839051930031008,apoe,LD_Sp09D02
Mean,pseudo_expr_chrM_ratio,0.1032666733833183,apoe,LD_Sp09D02
Mean,Residuals,0.7186763145467107,apoe,LD_Sp09D02
3rd Qu.,APOE,0.033290341478274046,apoe,LD_Sp09D02
3rd Qu.,round,2.6607871741754084e-4,apoe,LD_Sp09D02
3rd Qu.,Sex,0,apoe,LD_Sp09D02
3rd Qu.,Visium_slide,3.661543027332074e-12,apoe,LD_Sp09D02
3rd Qu.,Anc_Afr,0.04751972783754583,apoe,LD_Sp09D02
3rd Qu.,Age,0.04877671733826188,apoe,LD_Sp09D02
3rd Qu.,Rin,0.052240513763531775,apoe,LD_Sp09D02
3rd Qu.,pseudo_expr_chrM_ratio,0.1413529227660772,apoe,LD_Sp09D02
3rd Qu.,Residuals,0.8686576939088277,apoe,LD_Sp09D02
Max.,APOE,0.6602290845535234,apoe,LD_Sp09D02
Max.,round,0.4835105041604532,apoe,LD_Sp09D02
Max.,Sex,0.8744719699894358,apoe,LD_Sp09D02
Max.,Visium_slide,0.6954620766660746,apoe,LD_Sp09D02
Max.,Anc_Afr,0.6526238304679217,apoe,LD_Sp09D02
Max.,Age,0.4968337847661761,apoe,LD_Sp09D02
Max.,Rin,0.44087280743444135,apoe,LD_Sp09D02
Max.,pseudo_expr_chrM_ratio,0.9751889826076872,apoe,LD_Sp09D02
Max.,Residuals,0.9997482701933125,apoe,LD_Sp09D02
Min.,APOE_E4E4,0,e4e4,LD_Sp09D02
Min.,round,0,e4e4,LD_Sp09D02
Min.,Sex,0,e4e4,LD_Sp09D02
Min.,Visium_slide,0,e4e4,LD_Sp09D02
Min.,Anc_Afr,6.329400870731559e-13,e4e4,LD_Sp09D02
Min.,Age,5.700238455276569e-10,e4e4,LD_Sp09D02
Min.,Rin,8.21380396179862e-12,e4e4,LD_Sp09D02
